"School","Pub.Priv","Year","Ave.Act","Range","Num","Pct"
"Umr","Public",2006,27.1,"28.32",360,0.374220374220374
"Umr","Public",2006,27.1,"24.27",314,0.326403326403326
"Umr","Public",2006,27.1,"19.23",146,0.151767151767152
"Umr","Public",2006,27.1,"17.18",6,0.006237006237006
"Umr","Public",2006,27.1,"01.16",1,0.001039501039501
"Umr","Public",2006,27.1,"NA",84,0.087318087318087
"Umr","Public",2006,27.1,"Tot",962,1
"Umsl","Public",2006,22.9,"33.36",4,0.007619047619048
"Umsl","Public",2006,22.9,"28.32",51,0.097142857142857
"Umsl","Public",2006,22.9,"24.27",150,0.285714285714286
"Umsl","Public",2006,22.9,"19.23",225,0.428571428571429
"Umsl","Public",2006,22.9,"17.18",46,0.087619047619048
"Umsl","Public",2006,22.9,"01.16",10,0.019047619047619
"Umsl","Public",2006,22.9,"NA",39,0.074285714285714
"Umsl","Public",2006,22.9,"Tot",525,1
"Avila","Private",2006,21,"33.36",1,0.007246376811594
"Avila","Private",2006,21,"28.32",7,0.05072463768116
"Avila","Private",2006,21,"24.27",23,0.166666666666667
"Avila","Private",2006,21,"19.23",68,0.492753623188406
"Avila","Private",2006,21,"17.18",24,0.173913043478261
"Avila","Private",2006,21,"01.16",8,0.057971014492754
"Avila","Private",2006,21,"NA",7,0.05072463768116
"Avila","Private",2006,21,"Tot",138,1
"Central Methodist-Clas","Private",2006,21,"33.36",0,0
"Central Methodist-Clas","Private",2006,21,"28.32",8,0.037735849056604
"Central Methodist-Clas","Private",2006,21,"24.27",31,0.14622641509434
"Central Methodist-Clas","Private",2006,21,"19.23",114,0.537735849056604
"Central Methodist-Clas","Private",2006,21,"17.18",34,0.160377358490566
"Central Methodist-Clas","Private",2006,21,"01.16",10,0.047169811320755
"Central Methodist-Clas","Private",2006,21,"NA",15,0.070754716981132
"Central Methodist-Clas","Private",2006,21,"Tot",212,1
"College Of The Ozarks","Private",2006,22.5,"33.36",1,0.003623188405797
"College Of The Ozarks","Private",2006,22.5,"28.32",20,0.072463768115942
"College Of The Ozarks","Private",2006,22.5,"24.27",78,0.282608695652174
"College Of The Ozarks","Private",2006,22.5,"19.23",149,0.539855072463768
"College Of The Ozarks","Private",2006,22.5,"17.18",20,0.072463768115942
"College Of The Ozarks","Private",2006,22.5,"01.16",5,0.018115942028986
"College Of The Ozarks","Private",2006,22.5,"NA",3,0.010869565217391
"College Of The Ozarks","Private",2006,22.5,"Tot",276,1
"Columbia","Private",2006,22.5,"33.36",1,0.005235602094241
"Columbia","Private",2006,22.5,"28.32",15,0.078534031413613
"Columbia","Private",2006,22.5,"24.27",47,0.246073298429319
"Columbia","Private",2006,22.5,"19.23",76,0.397905759162304
"Columbia","Private",2006,22.5,"17.18",15,0.078534031413613
"Columbia","Private",2006,22.5,"01.16",9,0.047120418848168
"Columbia","Private",2006,22.5,"NA",28,0.146596858638743
"Columbia","Private",2006,22.5,"Tot",191,1
"Culver-Stockton","Private",2006,21,"33.36",0,0
"Culver-Stockton","Private",2006,21,"28.32",12,0.056603773584906
"Culver-Stockton","Private",2006,21,"24.27",33,0.155660377358491
"Culver-Stockton","Private",2006,21,"19.23",106,0.5
"Culver-Stockton","Private",2006,21,"17.18",53,0.25
"Culver-Stockton","Private",2006,21,"01.16",6,0.028301886792453
"Culver-Stockton","Private",2006,21,"NA",2,0.009433962264151
"Culver-Stockton","Private",2006,21,"Tot",212,1
"Drury","Private",2006,25,"33.36",2,0.003189792663477
"Drury","Private",2006,25,"28.32",84,0.133971291866029
"Drury","Private",2006,25,"24.27",94,0.149920255183413
"Drury","Private",2006,25,"19.23",102,0.162679425837321
"Drury","Private",2006,25,"17.18",62,0.098883572567783
"Drury","Private",2006,25,"01.16",14,0.022328548644338
"Drury","Private",2006,25,"NA",269,0.42902711323764
"Drury","Private",2006,25,"Tot",627,1
"Evangel","Private",2006,22.7,"33.36",3,0.009036144578313
"Evangel","Private",2006,22.7,"28.32",38,0.114457831325301
"Evangel","Private",2006,22.7,"24.27",99,0.298192771084337
"Evangel","Private",2006,22.7,"19.23",144,0.433734939759036
"Evangel","Private",2006,22.7,"17.18",38,0.114457831325301
"Evangel","Private",2006,22.7,"01.16",10,0.030120481927711
"Evangel","Private",2006,22.7,"NA",0,0
"Evangel","Private",2006,22.7,"Tot",332,1
"Fontbonne","Private",2006,20.9,"33.36",0,0
"Fontbonne","Private",2006,20.9,"28.32",8,0.042105263157895
"Fontbonne","Private",2006,20.9,"24.27",33,0.173684210526316
"Fontbonne","Private",2006,20.9,"19.23",79,0.415789473684211
"Fontbonne","Private",2006,20.9,"17.18",32,0.168421052631579
"Fontbonne","Private",2006,20.9,"01.16",15,0.078947368421053
"Fontbonne","Private",2006,20.9,"NA",23,0.121052631578947
"Fontbonne","Private",2006,20.9,"Tot",190,1
"Hannibal-Lagrange","Private",2006,21,"33.36",0,0
"Hannibal-Lagrange","Private",2006,21,"28.32",7,0.053435114503817
"Hannibal-Lagrange","Private",2006,21,"24.27",26,0.198473282442748
"Hannibal-Lagrange","Private",2006,21,"19.23",67,0.511450381679389
"Hannibal-Lagrange","Private",2006,21,"17.18",18,0.137404580152672
"Hannibal-Lagrange","Private",2006,21,"01.16",5,0.038167938931298
"Hannibal-Lagrange","Private",2006,21,"NA",8,0.061068702290076
"Hannibal-Lagrange","Private",2006,21,"Tot",131,1
"Lindenwood","Private",2006,21.6,"33.36",2,0.002127659574468
"Lindenwood","Private",2006,21.6,"28.32",42,0.04468085106383
"Lindenwood","Private",2006,21.6,"24.27",141,0.15
"Lindenwood","Private",2006,21.6,"19.23",404,0.429787234042553
"Lindenwood","Private",2006,21.6,"17.18",101,0.107446808510638
"Lindenwood","Private",2006,21.6,"01.16",25,0.026595744680851
"Lindenwood","Private",2006,21.6,"NA",225,0.23936170212766
"Lindenwood","Private",2006,21.6,"Tot",940,1
"Maryville","Private",2006,24,"33.36",1,0.003257328990228
"Maryville","Private",2006,24,"28.32",45,0.146579804560261
"Maryville","Private",2006,24,"24.27",115,0.374592833876221
"Maryville","Private",2006,24,"19.23",120,0.390879478827362
"Maryville","Private",2006,24,"17.18",5,0.01628664495114
"Maryville","Private",2006,24,"01.16",0,0
