,DriverNumber,LapNumber,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,StartPosition,EndPosition,Points,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,TotalTime,PitTime,TotalTimeWithPit,TotalTimeWithPitWoop
33,44,34,HARD,24.0,False,4,Mercedes,HAM,1,1.0,1.0,26.0,NA,NA,33.943000000000005,28.970000000000002,28.498,91.41100000000002,NA,NA,NA
83,33,34,MEDIUM,19.0,True,3,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,NA,33.751000000000005,29.162000000000003,28.578000000000003,91.49100000000001,NA,NA,NA
133,77,34,MEDIUM,19.0,False,4,Mercedes,BOT,1,2.0,3.0,15.0,NA,NA,34.35,29.309,28.943,92.602,NA,NA,NA
183,31,34,HARD,21.0,False,3,Alpine,OCO,1,9.0,4.0,12.0,NA,NA,34.608000000000004,29.825000000000003,29.226000000000003,93.659,NA,NA,NA
233,3,34,MEDIUM,21.0,False,3,McLaren,RIC,1,11.0,5.0,10.0,NA,NA,34.665,29.661,29.117,93.443,NA,NA,NA
283,10,34,HARD,21.0,False,3,AlphaTauri,GAS,1,6.0,6.0,8.0,NA,NA,34.49,29.846,29.152,93.488,NA,NA,NA
333,16,34,HARD,24.0,False,4,Ferrari,LEC,1,4.0,7.0,6.0,NA,NA,34.04,29.402,28.815,92.257,NA,NA,NA
383,55,34,MEDIUM,24.0,False,3,Ferrari,SAI,1,15.0,8.0,4.0,NA,NA,33.935,29.361,28.996000000000002,92.292,NA,NA,NA
433,99,34,HARD,21.0,False,3,Alfa Romeo Racing,GIO,1,10.0,9.0,2.0,NA,NA,34.367000000000004,29.769000000000002,29.221,93.35700000000001,NA,NA,NA
483,4,34,HARD,24.0,False,4,McLaren,NOR,1,7.0,10.0,1.0,NA,NA,34.464,29.483,28.881,92.828,NA,NA,NA
533,18,34,MEDIUM,19.0,False,4,Aston Martin,STR,1,18.0,11.0,0.0,NA,NA,34.383,29.863000000000003,29.323,93.56900000000002,NA,NA,NA
583,6,34,HARD,22.0,False,4,Williams,LAT,1,16.0,12.0,0.0,NA,NA,34.462,29.814000000000004,29.321,93.59700000000001,NA,NA,NA
633,14,34,HARD,24.0,False,4,Alpine,ALO,1,13.0,13.0,0.0,NA,NA,34.547000000000004,29.969,29.438000000000002,93.95400000000001,NA,NA,NA
682,22,34,HARD,13.0,False,4,AlphaTauri,TSU,1,8.0,14.0,0.0,NA,NA,34.104,29.805000000000003,29.186000000000003,93.09500000000001,NA,NA,NA
731,7,34,MEDIUM,13.0,False,4,Alfa Romeo Racing,RAI,1,12.0,15.0,0.0,NA,NA,34.429,29.868000000000002,29.262,93.559,NA,NA,NA
780,5,34,MEDIUM,19.0,False,3,Aston Martin,VET,1,17.0,16.0,0.0,NA,NA,36.048,30.202,29.428,95.678,NA,NA,NA
34,44,35,HARD,25.0,False,4,Mercedes,HAM,1,1.0,1.0,26.0,NA,NA,33.962,28.900000000000002,28.337000000000003,91.19900000000001,NA,NA,NA
84,33,35,MEDIUM,20.0,True,3,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,NA,33.673,29.227,28.588,91.488,NA,NA,NA
134,77,35,MEDIUM,20.0,False,4,Mercedes,BOT,6,2.0,3.0,15.0,NA,NA,34.442,29.293000000000003,35.569,99.304,NA,NA,NA
184,31,35,HARD,22.0,False,3,Alpine,OCO,6,9.0,4.0,12.0,NA,NA,34.351,30.054000000000002,35.806000000000004,100.21100000000001,NA,NA,NA
234,3,35,MEDIUM,22.0,False,3,McLaren,RIC,6,11.0,5.0,10.0,NA,NA,34.555,29.552000000000003,35.114000000000004,99.221,NA,NA,NA
284,10,35,HARD,22.0,False,3,AlphaTauri,GAS,6,6.0,6.0,8.0,NA,NA,34.324000000000005,29.881,37.529,101.73400000000001,NA,NA,NA
334,16,35,HARD,25.0,False,4,Ferrari,LEC,67,4.0,7.0,6.0,NA,NA,33.897000000000006,29.475,42.664,106.036,NA,NA,NA
384,55,35,MEDIUM,25.0,False,3,Ferrari,SAI,67,15.0,8.0,4.0,NA,NA,34.212,29.360000000000003,42.614000000000004,106.186,NA,NA,NA
434,99,35,HARD,22.0,False,3,Alfa Romeo Racing,GIO,67,10.0,9.0,2.0,NA,NA,34.321000000000005,29.657000000000004,40.431000000000004,104.40900000000002,NA,NA,NA
484,4,35,HARD,25.0,False,4,McLaren,NOR,67,7.0,10.0,1.0,NA,NA,35.958000000000006,38.572,36.469,110.999,NA,NA,NA
534,18,35,MEDIUM,20.0,False,4,Aston Martin,STR,67,18.0,11.0,0.0,NA,NA,35.617000000000004,37.668,37.647000000000006,110.932,NA,NA,NA
584,6,35,HARD,23.0,False,4,Williams,LAT,67,16.0,12.0,0.0,NA,NA,34.548,36.983000000000004,39.221000000000004,110.75200000000001,NA,NA,NA
634,14,35,HARD,25.0,False,4,Alpine,ALO,67,13.0,13.0,0.0,NA,NA,34.858000000000004,40.102000000000004,34.776,109.73600000000002,NA,NA,NA
683,22,35,HARD,14.0,False,4,AlphaTauri,TSU,67,8.0,14.0,0.0,NA,NA,43.431000000000004,32.149,29.022000000000002,104.60200000000002,NA,NA,NA
732,7,35,MEDIUM,14.0,False,4,Alfa Romeo Racing,RAI,67,12.0,15.0,0.0,NA,NA,46.296,30.391000000000002,29.586000000000002,106.273,NA,NA,NA
781,5,35,MEDIUM,20.0,False,3,Aston Martin,VET,67,17.0,16.0,0.0,NA,NA,35.195,40.681000000000004,33.776,109.65200000000002,NA,NA,NA
35,44,36,HARD,26.0,False,4,Mercedes,HAM,67,1.0,1.0,26.0,NA,NA,40.472,34.525000000000006,28.098000000000003,103.09500000000001,NA,NA,NA
85,33,36,MEDIUM,21.0,True,3,Red Bull Racing,VER,67,3.0,2.0,18.0,NA,NA,40.908,34.379000000000005,28.435000000000002,103.72200000000001,NA,NA,NA
135,77,36,MEDIUM,21.0,False,4,Mercedes,BOT,67,2.0,3.0,15.0,NA,NA,39.415,29.203000000000003,28.700000000000003,97.318,NA,NA,NA
185,31,36,HARD,23.0,False,3,Alpine,OCO,67,9.0,4.0,12.0,NA,NA,39.704,29.453000000000003,29.034000000000002,98.19100000000002,NA,NA,NA
235,3,36,MEDIUM,23.0,False,3,McLaren,RIC,67,11.0,5.0,10.0,NA,NA,39.744,29.363000000000003,28.840000000000003,97.947,NA,NA,NA
285,10,36,HARD,23.0,False,3,AlphaTauri,GAS,67,6.0,6.0,8.0,NA,NA,37.713,29.793000000000003,29.256,96.762,NA,NA,NA
335,16,36,HARD,26.0,False,4,Ferrari,LEC,7,4.0,7.0,6.0,NA,NA,34.92,29.359,28.930000000000003,93.209,NA,NA,NA
385,55,36,MEDIUM,26.0,False,3,Ferrari,SAI,7,15.0,8.0,4.0,NA,NA,35.237,29.226000000000003,29.086000000000002,93.549,NA,NA,NA
435,99,36,HARD,23.0,False,3,Alfa Romeo Racing,GIO,7,10.0,9.0,2.0,NA,NA,36.96,29.67,29.290000000000003,95.92,NA,NA,NA
485,4,36,HARD,26.0,False,4,McLaren,NOR,1,7.0,10.0,1.0,NA,NA,35.104,29.373,29.198,93.67500000000001,NA,NA,NA
535,18,36,MEDIUM,21.0,False,4,Aston Martin,STR,1,18.0,11.0,0.0,NA,NA,34.67,29.845000000000002,29.451,93.96600000000001,NA,NA,NA
585,6,36,HARD,24.0,False,4,Williams,LAT,1,16.0,12.0,0.0,NA,NA,34.591,29.921000000000003,29.404000000000003,93.916,NA,NA,NA
635,14,36,HARD,26.0,False,4,Alpine,ALO,1,13.0,13.0,0.0,NA,NA,34.546,29.767000000000003,29.360000000000003,93.673,NA,NA,NA
