,Index,Year,Race,Team,Driver,TyreLife,Mean,Min,Max,NumberOfStops
869,869,2020,GreatBritainA,15,25,[12.0],12.0,12.0,12.0,1.0
870,870,2020,GreatBritainB,1,8,"[7.0, 26.0]",20.0,7.0,33.0,2.0
871,871,2020,GreatBritainB,1,23,[26.0],26.0,26.0,26.0,1.0
872,872,2020,GreatBritainB,2,7,"[10.0, 16.0]",15.0,7.0,23.0,2.0
873,873,2020,GreatBritainB,2,14,"[19.0, 16.0]",27.0,19.0,35.0,2.0
874,874,2020,GreatBritainB,5,16,[21.0],18.0,18.0,18.0,1.0
875,875,2020,GreatBritainB,5,32,"[23.0, 11.0]",27.5,22.0,33.0,2.0
876,876,2020,GreatBritainB,7,9,"[20.0, 22.0]",27.5,17.0,38.0,2.0
877,877,2020,GreatBritainB,7,17,"[9.0, 12.0, 23.0]",24.0,9.0,43.0,3.0
878,878,2020,GreatBritainB,8,20,"[15.0, 17.0]",20.5,12.0,29.0,2.0
879,879,2020,GreatBritainB,8,26,"[22.0, 15.0]",28.0,22.0,34.0,2.0
880,880,2020,GreatBritainB,9,3,"[16.0, 19.0]",22.5,13.0,32.0,2.0
881,881,2020,GreatBritainB,9,10,"[17.0, 27.0]",27.5,14.0,41.0,2.0
882,882,2020,GreatBritainB,10,12,"[18.0, 15.0, 14.0]",29.666666666666668,15.0,44.0,3.0
883,883,2020,GreatBritainB,10,28,"[21.0, 13.0]",24.5,18.0,31.0,2.0
884,884,2020,GreatBritainB,11,1,"[9.0, 24.0]",18.0,6.0,30.0,2.0
885,885,2020,GreatBritainB,11,31,"[29.0, 6.0]",29.0,26.0,32.0,2.0
886,886,2020,GreatBritainB,12,21,[22.0],22.0,22.0,22.0,1.0
887,887,2020,GreatBritainB,12,24,"[17.0, 15.0, 9.0]",25.0,14.0,35.0,3.0
888,888,2020,GreatBritainB,15,15,"[9.0, 17.0, 20.0]",27.0,9.0,46.0,3.0
889,889,2020,GreatBritainB,15,25,"[8.0, 16.0, 15.0]",23.666666666666668,8.0,39.0,3.0
890,890,2020,Hungary,1,8,"[4.0, 16.0, 20.0]",21.333333333333332,4.0,40.0,3.0
891,891,2020,Hungary,1,23,"[3.0, 30.0]",18.0,3.0,33.0,2.0
892,892,2020,Hungary,2,7,"[3.0, 12.0]",9.0,3.0,15.0,2.0
893,893,2020,Hungary,2,14,[17.0],18.0,18.0,18.0,1.0
894,894,2020,Hungary,5,16,"[2.0, 21.0]",11.0,2.0,20.0,2.0
895,895,2020,Hungary,5,32,"[3.0, 26.0]",16.0,3.0,29.0,2.0
896,896,2020,Hungary,7,9,[31.0],34.0,34.0,34.0,1.0
897,897,2020,Hungary,7,17,[33.0],35.0,35.0,35.0,1.0
898,898,2020,Hungary,8,20,"[4.0, 31.0]",19.5,4.0,35.0,2.0
899,899,2020,Hungary,8,26,"[3.0, 37.0]",21.5,3.0,40.0,2.0
900,900,2020,Hungary,9,3,"[2.0, 31.0, 19.0]",28.0,2.0,49.0,3.0
901,901,2020,Hungary,9,10,"[3.0, 34.0, 29.0]",35.333333333333336,3.0,66.0,3.0
902,902,2020,Hungary,10,22,"[3.0, 32.0]",19.0,3.0,35.0,2.0
903,903,2020,Hungary,10,28,"[3.0, 32.0, 22.0]",30.0,3.0,52.0,3.0
904,904,2020,Hungary,11,1,"[3.0, 31.0]",18.5,3.0,34.0,2.0
905,905,2020,Hungary,11,31,"[4.0, 32.0]",20.0,4.0,36.0,2.0
906,906,2020,Hungary,12,24,"[4.0, 39.0]",23.5,4.0,43.0,2.0
907,907,2020,Hungary,15,15,"[3.0, 1.0, 27.0, 11.0, 23.0]",25.8,3.0,52.0,5.0
908,908,2020,Hungary,15,25,"[4.0, 15.0, 31.0]",24.333333333333332,4.0,50.0,3.0
909,909,2020,ItalyA,1,8,"[20.0, 6.0, 4.0]",25.333333333333332,20.0,30.0,3.0
910,910,2020,ItalyA,1,23,"[18.0, 8.0]",22.0,18.0,26.0,2.0
911,911,2020,ItalyA,2,7,"[22.0, 7.0]",22.5,19.0,26.0,2.0
912,912,2020,ItalyA,2,14,"[22.0, 4.0]",24.0,22.0,26.0,2.0
913,913,2020,ItalyA,5,16,"[17.0, 7.0]",20.5,17.0,24.0,2.0
914,914,2020,ItalyA,5,32,[6.0],6.0,6.0,6.0,1.0
915,915,2020,ItalyA,7,9,"[22.0, 4.0]",24.0,22.0,26.0,2.0
916,916,2020,ItalyA,7,17,[17.0],18.0,18.0,18.0,1.0
917,917,2020,ItalyA,8,20,"[25.0, 4.0]",24.0,22.0,26.0,2.0
918,918,2020,ItalyA,8,26,"[25.0, 4.0]",24.0,22.0,26.0,2.0
919,919,2020,ItalyA,9,3,"[25.0, 4.0]",24.0,22.0,26.0,2.0
920,920,2020,ItalyA,9,10,"[23.0, 6.0, 2.0]",24.666666666666668,20.0,28.0,3.0
921,921,2020,ItalyA,10,22,"[25.0, 4.0]",24.0,22.0,26.0,2.0
922,922,2020,ItalyA,10,28,[29.0],26.0,26.0,26.0,1.0
923,923,2020,ItalyA,11,1,"[25.0, 4.0]",24.0,22.0,26.0,2.0
924,924,2020,ItalyA,11,31,"[25.0, 4.0, 8.0]",26.0,22.0,30.0,3.0
925,925,2020,ItalyA,12,21,"[22.0, 4.0]",24.0,22.0,26.0,2.0
926,926,2020,ItalyA,12,24,"[25.0, 4.0]",24.0,22.0,26.0,2.0
927,927,2020,ItalyA,15,15,"[16.0, 10.0]",21.0,16.0,26.0,2.0
928,928,2020,ItalyA,15,25,"[22.0, 4.0]",24.0,22.0,26.0,2.0
929,929,2020,ItalyB,1,23,"[6.0, 7.0, 26.0, 15.0, 2.0]",25.6,7.0,44.0,5.0
930,930,2020,ItalyB,2,14,"[7.0, 8.0, 21.0, 22.0, 4.0]",26.4,7.0,45.0,5.0
931,931,2020,ItalyB,5,16,"[10.0, 11.0, 16.0, 16.0, 8.0]",23.6,7.0,45.0,5.0
932,932,2020,ItalyB,5,32,"[6.0, 7.0, 23.0, 15.0, 5.0]",26.2,7.0,45.0,5.0
933,933,2020,ItalyB,7,9,"[7.0, 1.0, 20.0, 15.0, 5.0]",25.8,7.0,44.0,5.0
934,934,2020,ItalyB,8,20,"[7.0, 8.0, 24.0, 14.0, 5.0]",26.4,7.0,45.0,5.0
935,935,2020,ItalyB,9,3,"[10.0, 11.0, 23.0, 12.0, 2.0]",26.8,7.0,45.0,5.0
936,936,2020,ItalyB,9,10,"[10.0, 11.0, 24.0, 12.0, 1.0]",27.2,7.0,45.0,5.0
937,937,2020,ItalyB,10,22,"[10.0, 11.0, 23.0, 15.0, 5.0]",26.2,7.0,45.0,5.0
938,938,2020,ItalyB,10,28,"[10.0, 11.0, 24.0]",15.0,7.0,30.0,3.0
939,939,2020,ItalyB,11,1,"[10.0, 11.0, 26.0, 11.0, 5.0]",27.0,7.0,45.0,5.0
940,940,2020,ItalyB,12,21,"[10.0, 11.0]",7.5,7.0,8.0,2.0
941,941,2020,ItalyB,12,24,"[10.0, 11.0, 21.0, 16.0, 13.0]",26.0,7.0,45.0,5.0
942,942,2020,ItalyB,15,25,"[7.0, 8.0, 21.0, 14.0, 2.0]",26.4,7.0,45.0,5.0
943,943,2020,ItalyC,1,23,"[6.0, 7.0, 26.0, 15.0, 2.0]",25.6,7.0,44.0,5.0
944,944,2020,ItalyC,2,14,"[7.0, 8.0, 21.0, 22.0, 4.0]",26.4,7.0,45.0,5.0
945,945,2020,ItalyC,5,16,"[10.0, 11.0, 16.0, 16.0, 8.0]",23.6,7.0,45.0,5.0
946,946,2020,ItalyC,5,32,"[6.0, 7.0, 23.0, 15.0, 5.0]",26.2,7.0,45.0,5.0
947,947,2020,ItalyC,7,9,"[7.0, 1.0, 20.0, 15.0, 5.0]",25.8,7.0,44.0,5.0
948,948,2020,ItalyC,8,20,"[7.0, 8.0, 24.0, 14.0, 5.0]",26.4,7.0,45.0,5.0
949,949,2020,ItalyC,9,3,"[10.0, 11.0, 23.0, 12.0, 2.0]",26.8,7.0,45.0,5.0
950,950,2020,ItalyC,9,10,"[10.0, 11.0, 24.0, 12.0, 1.0]",27.2,7.0,45.0,5.0
951,951,2020,ItalyC,10,22,"[10.0, 11.0, 23.0, 15.0, 5.0]",26.2,7.0,45.0,5.0
952,952,2020,ItalyC,10,28,"[10.0, 11.0, 24.0]",15.0,7.0,30.0,3.0
953,953,2020,ItalyC,11,1,"[10.0, 11.0, 26.0, 11.0, 5.0]",27.0,7.0,45.0,5.0
954,954,2020,ItalyC,12,21,"[10.0, 11.0]",7.5,7.0,8.0,2.0
955,955,2020,ItalyC,12,24,"[10.0, 11.0, 21.0, 16.0, 13.0]",26.0,7.0,45.0,5.0
956,956,2020,ItalyC,15,25,"[7.0, 8.0, 21.0, 14.0, 2.0]",26.4,7.0,45.0,5.0
957,957,2020,Portugal,1,8,[28.0],28.0,28.0,28.0,1.0
958,958,2020,Portugal,1,23,[11.0],11.0,11.0,11.0,1.0
959,959,2020,Portugal,2,7,[32.0],28.0,28.0,28.0,1.0
960,960,2020,Portugal,2,14,"[25.0, 31.0]",40.0,25.0,55.0,2.0
961,961,2020,Portugal,5,16,[39.0],34.0,34.0,34.0,1.0
962,962,2020,Portugal,5,32,[31.0],27.0,27.0,27.0,1.0
963,963,2020,Portugal,7,9,[26.0],26.0,26.0,26.0,1.0
964,964,2020,Portugal,7,17,[31.0],31.0,31.0,31.0,1.0
965,965,2020,Portugal,8,20,"[22.0, 25.0]",30.5,18.0,43.0,2.0
966,966,2020,Portugal,8,26,[31.0],26.0,26.0,26.0,1.0
967,967,2020,Portugal,9,3,[44.0],41.0,41.0,41.0,1.0
968,968,2020,Portugal,9,10,[45.0],40.0,40.0,40.0,1.0
969,969,2020,Portugal,10,22,[44.0],45.0,45.0,45.0,1.0
970,970,2020,Portugal,10,28,"[18.0, 16.0, 17.0]",34.333333333333336,18.0,51.0,3.0
971,971,2020,Portugal,11,1,"[24.0, 32.0]",32.5,19.0,46.0,2.0
972,972,2020,Portugal,11,31,[27.0],23.0,23.0,23.0,1.0
973,973,2020,Portugal,12,21,[53.0],53.0,53.0,53.0,1.0
974,974,2020,Portugal,12,24,[19.0],14.0,14.0,14.0,1.0
975,975,2020,Portugal,15,15,[24.0],24.0,24.0,24.0,1.0
976,976,2020,Portugal,15,25,[36.0],36.0,36.0,36.0,1.0
977,977,2020,Russia,1,8,[16.0],16.0,16.0,16.0,1.0
978,978,2020,Russia,1,23,[35.0],35.0,35.0,35.0,1.0
979,979,2020,Russia,2,7,"[21.0, 24.0]",30.0,18.0,42.0,2.0
980,980,2020,Russia,2,14,[30.0],30.0,30.0,30.0,1.0
981,981,2020,Russia,5,16,[28.0],28.0,28.0,28.0,1.0
982,982,2020,Russia,5,32,[30.0],30.0,30.0,30.0,1.0
983,983,2020,Russia,7,9,"[17.0, 25.0]",29.5,17.0,42.0,2.0
984,984,2020,Russia,7,17,[19.0],19.0,19.0,19.0,1.0
985,985,2020,Russia,8,20,[46.0],47.0,47.0,47.0,1.0
986,986,2020,Russia,9,3,[29.0],26.0,26.0,26.0,1.0
987,987,2020,Russia,9,10,[19.0],16.0,16.0,16.0,1.0
988,988,2020,Russia,10,22,[23.0],20.0,20.0,20.0,1.0
989,989,2020,Russia,11,1,[26.0],27.0,27.0,27.0,1.0
990,990,2020,Russia,11,31,[28.0],25.0,25.0,25.0,1.0
991,991,2020,Russia,12,21,[21.0],18.0,18.0,18.0,1.0
992,992,2020,Russia,12,24,[18.0],15.0,15.0,15.0,1.0
993,993,2020,Russia,15,15,[17.0],17.0,17.0,17.0,1.0
994,994,2020,Russia,15,25,"[13.0, 38.0]",32.0,14.0,50.0,2.0
995,995,2020,Spain,1,8,"[21.0, 24.0]",33.0,21.0,45.0,2.0
996,996,2020,Spain,1,23,"[20.0, 27.0]",32.0,20.0,44.0,2.0
997,997,2020,Spain,2,7,"[24.0, 21.0]",31.5,21.0,42.0,2.0
998,998,2020,Spain,2,14,"[21.0, 24.0]",33.0,21.0,45.0,2.0
999,999,2020,Spain,5,16,"[32.0, 9.0]",33.5,29.0,38.0,2.0
1000,1000,2020,Spain,5,32,[29.0],29.0,29.0,29.0,1.0
1001,1001,2020,Spain,7,9,"[33.0, 33.0]",47.0,32.0,62.0,2.0
1002,1002,2020,Spain,7,17,[31.0],28.0,28.0,28.0,1.0
1003,1003,2020,Spain,8,20,"[24.0, 26.0]",32.5,21.0,44.0,2.0
1004,1004,2020,Spain,8,26,"[25.0, 22.0]",31.5,22.0,41.0,2.0
1005,1005,2020,Spain,9,3,"[26.0, 25.0, 19.0]",45.0,23.0,64.0,3.0
1006,1006,2020,Spain,9,10,"[26.0, 27.0]",36.5,23.0,50.0,2.0
1007,1007,2020,Spain,10,22,[32.0],29.0,29.0,29.0,1.0
1008,1008,2020,Spain,10,28,"[30.0, 15.0]",34.5,27.0,42.0,2.0
1009,1009,2020,Spain,11,1,"[20.0, 22.0]",28.0,17.0,39.0,2.0
1010,1010,2020,Spain,11,31,"[24.0, 20.0]",31.0,21.0,41.0,2.0
1011,1011,2020,Spain,12,21,[34.0],34.0,34.0,34.0,1.0
1012,1012,2020,Spain,12,24,[35.0],35.0,35.0,35.0,1.0
1013,1013,2020,Spain,15,15,"[28.0, 21.0]",38.5,28.0,49.0,2.0
1014,1014,2020,Spain,15,25,"[19.0, 16.0]",27.0,19.0,35.0,2.0
1015,1015,2021,AbuDhabi,1,8,[17.0],17.0,17.0,17.0,1.0
1016,1016,2021,AbuDhabi,1,23,"[21.0, 4.0]",23.0,21.0,25.0,2.0
1017,1017,2021,AbuDhabi,2,7,"[36.0, 21.0]",45.0,36.0,54.0,2.0
1018,1018,2021,AbuDhabi,2,29,"[27.0, 30.0]",38.0,23.0,53.0,2.0
1019,1019,2021,AbuDhabi,3,2,[37.0],36.0,36.0,36.0,1.0
1020,1020,2021,AbuDhabi,3,21,[18.0],15.0,15.0,15.0,1.0
1021,1021,2021,AbuDhabi,4,28,"[21.0, 31.0]",36.5,21.0,52.0,2.0
1022,1022,2021,AbuDhabi,4,32,[23.0],23.0,23.0,23.0,1.0
1023,1023,2021,AbuDhabi,5,16,"[18.0, 20.0]",25.0,15.0,35.0,2.0
1024,1024,2021,AbuDhabi,5,26,[22.0],19.0,19.0,19.0,1.0
1025,1025,2021,AbuDhabi,7,19,"[10.0, 42.0]",31.0,10.0,52.0,2.0
1026,1026,2021,AbuDhabi,8,20,"[20.0, 31.0]",32.5,17.0,48.0,2.0
1027,1027,2021,AbuDhabi,8,24,"[21.0, 34.0]",35.0,18.0,52.0,2.0
1028,1028,2021,AbuDhabi,9,3,[35.0],30.0,30.0,30.0,1.0
1029,1029,2021,AbuDhabi,9,10,[17.0],14.0,14.0,14.0,1.0
1030,1030,2021,AbuDhabi,11,22,"[24.0, 15.0, 17.0, 5.0]",41.25,21.0,55.0,4.0
1031,1031,2021,AbuDhabi,11,31,"[16.0, 23.0, 17.0]",34.0,13.0,53.0,3.0
1032,1032,2021,AbuDhabi,15,15,[28.0],28.0,28.0,28.0,1.0
1033,1033,2021,AbuDhabi,15,25,[26.0],26.0,26.0,26.0,1.0
1034,1034,2021,AustriaA,1,8,[23.0],23.0,23.0,23.0,1.0
1035,1035,2021,AustriaA,1,23,[36.0],36.0,36.0,36.0,1.0
1036,1036,2021,AustriaA,2,29,[29.0],26.0,26.0,26.0,1.0
1037,1037,2021,AustriaA,3,2,[30.0],27.0,27.0,27.0,1.0
1038,1038,2021,AustriaA,3,21,[36.0],36.0,36.0,36.0,1.0
1039,1039,2021,AustriaA,4,28,[31.0],28.0,28.0,28.0,1.0
1040,1040,2021,AustriaA,4,32,[27.0],27.0,27.0,27.0,1.0
1041,1041,2021,AustriaA,5,16,[36.0],37.0,37.0,37.0,1.0
1042,1042,2021,AustriaA,5,26,[41.0],41.0,41.0,41.0,1.0
1043,1043,2021,AustriaA,7,18,[21.0],21.0,21.0,21.0,1.0
1044,1044,2021,AustriaA,7,19,[33.0],33.0,33.0,33.0,1.0
1045,1045,2021,AustriaA,8,20,[34.0],31.0,31.0,31.0,1.0
1046,1046,2021,AustriaA,8,24,[41.0],41.0,41.0,41.0,1.0
1047,1047,2021,AustriaA,9,3,[30.0],27.0,27.0,27.0,1.0
1048,1048,2021,AustriaA,9,10,"[32.0, 41.0]",48.5,28.0,69.0,2.0
1049,1049,2021,AustriaA,11,22,"[29.0, 28.0]",40.0,26.0,54.0,2.0
1050,1050,2021,AustriaA,11,31,[34.0],29.0,29.0,29.0,1.0
1051,1051,2021,AustriaA,15,15,[24.0],25.0,25.0,25.0,1.0
1052,1052,2021,AustriaA,15,25,"[25.0, 1.0, 11.0]",29.0,25.0,36.0,3.0
1053,1053,2021,AustriaB,1,8,[28.0],29.0,29.0,29.0,1.0
1054,1054,2021,AustriaB,1,23,[37.0],37.0,37.0,37.0,1.0
1055,1055,2021,AustriaB,2,7,"[16.0, 32.0]",29.0,13.0,45.0,2.0
1056,1056,2021,AustriaB,2,29,"[15.0, 39.0]",31.5,12.0,51.0,2.0
1057,1057,2021,AustriaB,3,2,[32.0],32.0,32.0,32.0,1.0
1058,1058,2021,AustriaB,4,28,"[17.0, 32.0]",30.0,14.0,46.0,2.0
1059,1059,2021,AustriaB,4,32,"[20.0, 32.0, 21.0]",45.333333333333336,17.0,70.0,3.0
1060,1060,2021,AustriaB,5,16,[37.0],34.0,34.0,34.0,1.0
1061,1061,2021,AustriaB,5,26,[48.0],48.0,48.0,48.0,1.0
1062,1062,2021,AustriaB,7,18,"[27.0, 18.0]",36.0,27.0,45.0,2.0
1063,1063,2021,AustriaB,7,19,[34.0],34.0,34.0,34.0,1.0
1064,1064,2021,AustriaB,8,20,[33.0],30.0,30.0,30.0,1.0
1065,1065,2021,AustriaB,8,24,[29.0],29.0,29.0,29.0,1.0
1066,1066,2021,AustriaB,9,3,[33.0],30.0,30.0,30.0,1.0
1067,1067,2021,AustriaB,9,10,"[34.0, 22.0]",42.0,31.0,53.0,2.0
1068,1068,2021,AustriaB,11,22,[35.0],32.0,32.0,32.0,1.0
1069,1069,2021,AustriaB,11,31,"[35.0, 28.0]",46.0,32.0,60.0,2.0
1070,1070,2021,AustriaB,15,15,[33.0],33.0,33.0,33.0,1.0
1071,1071,2021,AustriaB,15,25,[33.0],30.0,30.0,30.0,1.0
1072,1072,2021,Belgium,1,8,[3.0],3.0,3.0,3.0,1.0
1073,1073,2021,Belgium,1,23,[3.0],3.0,3.0,3.0,1.0
1074,1074,2021,Belgium,2,7,[3.0],3.0,3.0,3.0,1.0
1075,1075,2021,Belgium,2,29,[3.0],3.0,3.0,3.0,1.0
1076,1076,2021,Belgium,3,2,[3.0],3.0,3.0,3.0,1.0
1077,1077,2021,Belgium,3,21,[3.0],3.0,3.0,3.0,1.0
1078,1078,2021,Belgium,4,28,[3.0],3.0,3.0,3.0,1.0
1079,1079,2021,Belgium,4,32,[5.0],3.0,3.0,3.0,1.0
1080,1080,2021,Belgium,5,16,[3.0],3.0,3.0,3.0,1.0
1081,1081,2021,Belgium,5,26,[3.0],3.0,3.0,3.0,1.0
1082,1082,2021,Belgium,7,18,[7.0],3.0,3.0,3.0,1.0
1083,1083,2021,Belgium,7,19,[6.0],3.0,3.0,3.0,1.0
1084,1084,2021,Belgium,8,20,[3.0],3.0,3.0,3.0,1.0
1085,1085,2021,Belgium,8,24,[3.0],3.0,3.0,3.0,1.0
1086,1086,2021,Belgium,9,3,[3.0],3.0,3.0,3.0,1.0
1087,1087,2021,Belgium,9,10,[3.0],3.0,3.0,3.0,1.0
1088,1088,2021,Belgium,11,22,[3.0],3.0,3.0,3.0,1.0
1089,1089,2021,Belgium,11,31,[4.0],3.0,3.0,3.0,1.0
1090,1090,2021,Belgium,15,15,[3.0],3.0,3.0,3.0,1.0
1091,1091,2021,Belgium,15,25,[3.0],3.0,3.0,3.0,1.0
1092,1092,2021,Brazil,1,8,"[7.0, 8.0, 29.0, 13.0]",21.5,7.0,42.0,4.0
1093,1093,2021,Brazil,1,23,"[7.0, 8.0, 28.0, 24.0]",23.75,7.0,52.0,4.0
1094,1094,2021,Brazil,2,7,"[7.0, 8.0, 25.0, 26.0]",22.75,7.0,51.0,4.0
1095,1095,2021,Brazil,2,29,"[4.0, 2.0, 3.0, 4.0, 35.0]",12.8,4.0,39.0,5.0
1096,1096,2021,Brazil,3,2,"[7.0, 8.0, 34.0]",16.333333333333332,7.0,34.0,3.0
1097,1097,2021,Brazil,3,21,"[7.0, 8.0, 30.0]",15.0,7.0,30.0,3.0
1098,1098,2021,Brazil,4,28,"[9.0, 10.0, 24.0, 27.0]",21.0,7.0,47.0,4.0
1099,1099,2021,Brazil,4,32,"[9.0, 10.0, 30.0, 29.0]",24.5,7.0,55.0,4.0
1100,1100,2021,Brazil,5,16,"[7.0, 25.0, 44.0, 25.0]",23.5,7.0,52.0,4.0
1101,1101,2021,Brazil,5,26,"[7.0, 8.0, 26.0, 27.0]",23.5,7.0,53.0,4.0
1102,1102,2021,Brazil,7,18,"[7.0, 8.0, 34.0]",16.333333333333332,7.0,34.0,3.0
1103,1103,2021,Brazil,7,19,"[7.0, 8.0, 11.0, 18.0, 32.0]",23.2,7.0,61.0,5.0
1104,1104,2021,Brazil,8,20,"[5.0, 6.0, 7.0, 36.0]",14.5,6.0,37.0,4.0
1105,1105,2021,Brazil,8,24,"[7.0, 8.0, 30.0, 19.0]",23.5,7.0,49.0,4.0
1106,1106,2021,Brazil,9,3,"[7.0, 8.0, 30.0, 11.0]",21.5,7.0,41.0,4.0
1107,1107,2021,Brazil,9,10,"[7.0, 8.0, 26.0, 17.0]",21.0,7.0,43.0,4.0
1108,1108,2021,Brazil,11,22,"[7.0, 8.0, 28.0, 14.0, 27.0]",30.8,7.0,69.0,5.0
1109,1109,2021,Brazil,11,31,"[7.0, 8.0, 27.0, 13.0]",20.5,7.0,40.0,4.0
1110,1110,2021,Brazil,15,15,"[7.0, 8.0, 13.0, 26.0]",16.75,7.0,39.0,4.0
1111,1111,2021,Brazil,15,25,"[6.0, 1.0, 2.0, 35.0]",15.5,6.0,41.0,4.0
1112,1112,2021,GreatBritain,1,8,"[2.0, 21.0]",12.5,2.0,23.0,2.0
1113,1113,2021,GreatBritain,1,23,"[2.0, 16.0]",10.0,2.0,18.0,2.0
1114,1114,2021,GreatBritain,2,7,"[2.0, 28.0, 18.0]",25.333333333333332,2.0,46.0,3.0
1115,1115,2021,GreatBritain,2,29,"[2.0, 30.0]",16.0,2.0,30.0,2.0
1116,1116,2021,GreatBritain,3,2,"[2.0, 23.0]",13.0,2.0,24.0,2.0
1117,1117,2021,GreatBritain,3,21,"[2.0, 17.0]",10.5,2.0,19.0,2.0
1118,1118,2021,GreatBritain,4,28,"[5.0, 23.0]",12.5,2.0,23.0,2.0
1119,1119,2021,GreatBritain,4,32,"[5.0, 21.0, 24.0]",20.0,2.0,40.0,3.0
1120,1120,2021,GreatBritain,5,16,"[2.0, 27.0]",15.5,2.0,29.0,2.0
1121,1121,2021,GreatBritain,5,26,"[2.0, 26.0]",15.0,2.0,28.0,2.0
1122,1122,2021,GreatBritain,7,18,"[5.0, 26.0]",13.5,2.0,25.0,2.0
1123,1123,2021,GreatBritain,7,19,"[5.0, 23.0]",13.0,2.0,24.0,2.0
1124,1124,2021,GreatBritain,8,20,"[2.0, 21.0]",11.5,2.0,21.0,2.0
1125,1125,2021,GreatBritain,8,24,"[2.0, 20.0]",11.0,2.0,20.0,2.0
1126,1126,2021,GreatBritain,9,3,"[3.0, 20.0]",12.0,2.0,22.0,2.0
1127,1127,2021,GreatBritain,9,10,"[3.0, 25.0]",14.5,2.0,27.0,2.0
1128,1128,2021,GreatBritain,11,22,"[2.0, 18.0, 20.0, 10.0]",26.5,2.0,48.0,4.0
1129,1129,2021,GreatBritain,15,15,"[2.0, 17.0]",10.5,2.0,19.0,2.0
1130,1130,2021,GreatBritain,15,25,"[2.0, 16.0]",10.0,2.0,18.0,2.0
1131,1131,2021,Hungary,1,8,"[1.0, 1.0, 9.0, 31.0]",12.25,2.0,33.0,4.0
1132,1132,2021,Hungary,1,23,"[2.0, 1.0, 12.0, 38.0]",18.25,2.0,53.0,4.0
1133,1133,2021,Hungary,2,7,"[2.0, 1.0, 27.0, 38.0]",25.75,2.0,68.0,4.0
1134,1134,2021,Hungary,2,29,"[2.0, 1.0, 19.0]",9.0,2.0,22.0,3.0
1135,1135,2021,Hungary,3,2,"[2.0, 1.0, 36.0]",14.666666666666666,2.0,39.0,3.0
1136,1136,2021,Hungary,3,21,"[2.0, 1.0, 34.0]",14.0,2.0,37.0,3.0
1137,1137,2021,Hungary,4,32,"[2.0, 1.0, 33.0]",13.666666666666666,2.0,36.0,3.0
1138,1138,2021,Hungary,5,26,"[2.0, 1.0, 29.0]",12.333333333333334,2.0,32.0,3.0
1139,1139,2021,Hungary,7,18,"[1.0, 1.0]",2.5,2.0,3.0,2.0
1140,1140,2021,Hungary,7,19,"[2.0, 1.0, 31.0]",13.0,2.0,34.0,3.0
1141,1141,2021,Hungary,8,20,[1.0],2.0,2.0,2.0,1.0
1142,1142,2021,Hungary,8,24,"[2.0, 1.0, 17.0]",8.333333333333334,2.0,20.0,3.0
1143,1143,2021,Hungary,9,10,"[2.0, 2.0, 18.0, 28.0]",18.0,2.0,47.0,4.0
1144,1144,2021,Hungary,11,31,"[1.0, 1.0, 17.0, 20.0]",16.25,2.0,40.0,4.0
1145,1145,2021,Hungary,15,15,"[2.0, 1.0, 20.0]",9.333333333333334,2.0,23.0,3.0
1146,1146,2021,Hungary,15,25,"[2.0, 1.0, 18.0]",8.666666666666666,2.0,21.0,3.0
1147,1147,2021,ItalyB,1,8,[24.0],25.0,25.0,25.0,1.0
1148,1148,2021,ItalyB,1,13,[26.0],26.0,26.0,26.0,1.0
1149,1149,2021,ItalyB,2,7,[3.0],3.0,3.0,3.0,1.0
1150,1150,2021,ItalyB,3,2,[25.0],25.0,25.0,25.0,1.0
1151,1151,2021,ItalyB,3,21,[26.0],26.0,26.0,26.0,1.0
1152,1152,2021,ItalyB,4,28,[27.0],25.0,25.0,25.0,1.0
1153,1153,2021,ItalyB,4,32,"[24.0, 6.0]",24.0,22.0,26.0,2.0
1154,1154,2021,ItalyB,5,16,[26.0],26.0,26.0,26.0,1.0
1155,1155,2021,ItalyB,5,26,[26.0],26.0,26.0,26.0,1.0
1156,1156,2021,ItalyB,7,18,"[24.0, 7.0, 11.0]",30.333333333333332,24.0,39.0,3.0
1157,1157,2021,ItalyB,7,19,[23.0],23.0,23.0,23.0,1.0
1158,1158,2021,ItalyB,8,20,[24.0],24.0,24.0,24.0,1.0
1159,1159,2021,ItalyB,8,24,[22.0],22.0,22.0,22.0,1.0
1160,1160,2021,ItalyB,9,3,[26.0],26.0,26.0,26.0,1.0
1161,1161,2021,ItalyB,9,10,[25.0],25.0,25.0,25.0,1.0
1162,1162,2021,ItalyB,11,22,[26.0],26.0,26.0,26.0,1.0
1163,1163,2021,ItalyB,11,31,[23.0],23.0,23.0,23.0,1.0
1164,1164,2021,ItalyB,15,15,[23.0],23.0,23.0,23.0,1.0
1165,1165,2021,ItalyB,15,25,[26.0],26.0,26.0,26.0,1.0
1166,1166,2021,Mexico,1,8,[20.0],16.0,16.0,16.0,1.0
1167,1167,2021,Mexico,1,23,[35.0],32.0,32.0,32.0,1.0
1168,1168,2021,Mexico,2,7,[34.0],31.0,31.0,31.0,1.0
1169,1169,2021,Mexico,3,2,[39.0],39.0,39.0,39.0,1.0
1170,1170,2021,Mexico,3,21,[14.0],14.0,14.0,14.0,1.0
1171,1171,2021,Mexico,4,28,"[14.0, 22.0]",23.0,12.0,34.0,2.0
1172,1172,2021,Mexico,4,32,[36.0],33.0,33.0,33.0,1.0
