,DriverNumberCat,LapNumber,CompoundCat,TyreLife,FreshTyre,Stint,TeamCat,Year,RACE,DriverCat,TrackStatusCat,GridPosition,Position,Points,TotalTime,GapSeconds,RaceCat,FreshTyreCat
116,32,6.0,5,5.0,True,1.0,13,2018,Australia,5,1,17.0,19.0,0.0,581.634,6.932,1,1
261,1,14.0,6,13.0,True,1.0,14,2018,Australia,7,0,20.0,18.0,0.0,1328.885,10.382000000000001,1,1
315,27,18.0,6,20.0,False,1.0,5,2018,Australia,23,0,2.0,3.0,15.0,1627.51,13.192,1,0
331,19,19.0,6,20.0,False,1.0,9,2018,Australia,10,0,1.0,2.0,18.0,1711.1760000000002,8.370000000000001,1,0
363,4,20.0,5,19.0,True,1.0,13,2018,Australia,16,0,18.0,13.0,0.0,1864.7990000000002,0.171,1,1
376,16,21.0,5,23.0,False,1.0,11,2018,Australia,31,0,4.0,6.0,8.0,1926.479,4.345000000000001,1,0
389,7,22.0,6,24.0,False,1.0,7,2018,Australia,17,0,5.0,17.0,0.0,2011.6960000000001,1.6300000000000001,1,0
395,24,22.0,6,24.0,False,1.0,12,2018,Australia,26,0,9.0,10.0,1.0,2028.922,1.455,1,0
400,13,22.0,4,21.0,True,2.0,14,2018,Australia,11,1,16.0,15.0,0.0,2077.958,3.051,1,1
411,15,23.0,6,22.0,True,1.0,6,2018,Australia,21,1,14.0,12.0,0.0,2125.715,2.657,1,1
420,29,24.0,6,26.0,False,1.0,7,2018,Australia,9,1,6.0,16.0,0.0,2193.089,2.741,1,0
423,12,24.0,6,26.0,False,1.0,12,2018,Australia,12,1,7.0,7.0,6.0,2196.436,0.1,1,0
426,2,24.0,6,23.0,True,1.0,6,2018,Australia,22,1,12.0,11.0,0.0,2212.081,0.437,1,1
436,6,25.0,6,24.0,True,1.0,8,2018,Australia,30,5,11.0,9.0,2.0,2298.364,5.604,1,1
438,28,25.0,6,27.0,False,1.0,9,2018,Australia,3,5,15.0,8.0,4.0,2301.4390000000003,1.133,1,0
442,5,25.0,5,24.0,True,1.0,15,2018,Australia,28,5,13.0,14.0,0.0,2330.1620000000003,4.32,1,1
444,22,26.0,6,28.0,False,1.0,5,2018,Australia,32,5,3.0,1.0,25.0,2360.0060000000003,16.343,1,0
448,14,26.0,5,28.0,False,1.0,11,2018,Australia,24,5,8.0,4.0,12.0,2399.618,8.749,1,0
449,3,26.0,6,25.0,True,1.0,8,2018,Australia,2,5,10.0,5.0,10.0,2411.177,11.559000000000001,1,1
473,4,27.0,4,7.0,True,2.0,13,2018,Australia,16,13,18.0,13.0,0.0,2606.6310000000003,25.273000000000003,1,1
502,5,29.0,4,4.0,True,2.0,15,2018,Australia,28,8,13.0,14.0,0.0,2817.7470000000003,25.66,1,1
977,16,2.0,4,1.0,True,1.0,11,2018,Bahrain,31,5,15.0,19.0,0.0,280.97900000000004,56.982000000000006,6,1
993,4,3.0,4,2.0,True,1.0,13,2018,Bahrain,16,12,19.0,12.0,0.0,349.983,0.21100000000000002,6,1
1101,2,9.0,4,8.0,True,1.0,6,2018,Bahrain,22,0,12.0,16.0,0.0,955.335,3.8950000000000005,6,1
1118,6,10.0,5,9.0,True,1.0,8,2018,Bahrain,30,1,14.0,8.0,4.0,1050.864,1.5350000000000001,6,1
1120,5,10.0,4,9.0,True,1.0,15,2018,Bahrain,28,1,20.0,14.0,0.0,1057.9930000000002,1.183,6,1
1164,7,13.0,5,15.0,False,1.0,7,2018,Bahrain,17,0,6.0,5.0,10.0,1334.4370000000001,0.927,6,0
1182,3,14.0,4,13.0,True,1.0,8,2018,Bahrain,2,0,13.0,7.0,6.0,1435.439,4.612,6,1
1198,1,15.0,5,17.0,False,1.0,14,2018,Bahrain,7,0,5.0,4.0,12.0,1524.9930000000002,12.510000000000002,6,0
1199,12,15.0,5,17.0,False,1.0,12,2018,Bahrain,12,0,7.0,6.0,8.0,1530.837,5.844,6,0
1202,15,15.0,5,17.0,False,1.0,6,2018,Bahrain,21,0,8.0,10.0,1.0,1537.41,0.47400000000000003,6,0
1219,24,16.0,5,18.0,False,1.0,12,2018,Bahrain,26,0,10.0,11.0,0.0,1637.9170000000001,0.256,6,0
1231,22,17.0,5,18.0,False,1.0,5,2018,Bahrain,32,0,1.0,1.0,25.0,1694.2130000000002,0.616,6,0
1249,27,18.0,5,20.0,False,1.0,5,2018,Bahrain,23,0,2.0,18.0,0.0,1798.3120000000001,8.39,6,0
1255,29,18.0,5,17.0,True,1.0,7,2018,Bahrain,9,0,16.0,13.0,0.0,1836.988,2.604,6,1
1266,28,19.0,5,21.0,False,1.0,9,2018,Bahrain,3,0,3.0,2.0,18.0,1889.266,22.843,6,0
1289,13,20.0,5,19.0,True,1.0,14,2018,Bahrain,11,0,11.0,17.0,0.0,2029.006,1.991,6,1
1335,17,22.0,4,21.0,True,1.0,15,2018,Bahrain,27,0,18.0,15.0,0.0,2250.7870000000003,5.029,6,1
1346,32,23.0,4,22.0,True,1.0,13,2018,Bahrain,5,0,17.0,9.0,2.0,2327.327,0.9840000000000001,6,1
1376,19,25.0,4,27.0,False,1.0,9,2018,Bahrain,10,0,9.0,3.0,15.0,2479.0330000000004,0.687,6,0
1405,24,26.0,5,13.0,False,2.0,12,2018,Bahrain,26,1,10.0,11.0,0.0,2635.489,0.185,6,0
1416,7,27.0,5,17.0,False,2.0,7,2018,Bahrain,17,1,6.0,5.0,10.0,2710.605,1.262,6,0
1437,6,28.0,4,18.0,True,2.0,8,2018,Bahrain,30,0,14.0,8.0,4.0,2823.954,0.156,6,1
1473,29,30.0,4,12.0,True,2.0,7,2018,Bahrain,9,0,16.0,13.0,0.0,3020.577,2.447,6,1
1483,5,29.0,5,19.0,True,2.0,15,2018,Bahrain,28,0,20.0,14.0,0.0,3049.5,1.5110000000000001,6,1
1511,2,32.0,3,23.0,True,2.0,6,2018,Bahrain,22,0,12.0,16.0,0.0,3223.0840000000003,2.198,6,1
1535,27,34.0,4,15.0,True,2.0,5,2018,Bahrain,23,0,2.0,18.0,0.0,3337.7690000000002,4.3790000000000004,6,1
1540,1,34.0,4,19.0,True,2.0,14,2018,Bahrain,7,0,5.0,4.0,12.0,3375.661,18.719,6,1
1552,4,34.0,3,31.0,True,2.0,13,2018,Bahrain,16,0,19.0,12.0,0.0,3431.951,3.576,6,1
1562,15,35.0,3,20.0,True,2.0,6,2018,Bahrain,21,0,8.0,10.0,1.0,3506.983,2.049,6,1
1625,12,39.0,4,24.0,True,2.0,12,2018,Bahrain,12,0,7.0,6.0,8.0,3872.0400000000004,32.776,6,1
1627,3,39.0,3,25.0,True,2.0,8,2018,Bahrain,2,0,13.0,7.0,6.0,3874.347,1.766,6,1
1656,17,40.0,3,18.0,True,2.0,15,2018,Bahrain,27,0,18.0,15.0,0.0,4024.315,14.414000000000001,6,1
1685,13,42.0,4,22.0,True,2.0,14,2018,Bahrain,11,0,11.0,17.0,0.0,4193.334,0.931,6,1
1739,29,45.0,5,15.0,True,3.0,7,2018,Bahrain,9,0,16.0,13.0,0.0,4491.053,2.875,6,1
2130,13,10.0,6,9.0,True,1.0,14,2018,China,11,0,15.0,20.0,0.0,1038.506,3.829,12,1
2142,15,11.0,4,10.0,True,1.0,6,2018,China,21,0,12.0,11.0,0.0,1124.8580000000002,5.243,12,1
2159,24,12.0,6,14.0,False,1.0,12,2018,China,26,0,9.0,9.0,2.0,1219.8780000000002,2.3770000000000002,12,0
2165,2,12.0,6,14.0,False,1.0,6,2018,China,22,0,8.0,12.0,0.0,1231.836,1.459,12,0
2177,12,13.0,6,15.0,False,1.0,12,2018,China,12,0,7.0,6.0,8.0,1316.7040000000002,16.908,12,0
2239,29,16.0,6,18.0,False,1.0,7,2018,China,9,0,10.0,17.0,0.0,1627.4060000000002,3.4800000000000004,12,0
2254,16,17.0,6,19.0,False,1.0,11,2018,China,31,0,5.0,5.0,10.0,1696.2,1.689,12,0
2256,14,17.0,6,19.0,False,1.0,11,2018,China,24,0,6.0,1.0,25.0,1702.614,6.104,12,0
2274,19,18.0,4,20.0,False,1.0,9,2018,China,10,0,4.0,4.0,12.0,1799.9,6.377000000000001,12,0
2292,28,19.0,4,21.0,False,1.0,9,2018,China,3,0,3.0,2.0,18.0,1888.586,7.854,12,0
2311,22,20.0,4,21.0,False,1.0,5,2018,China,32,0,1.0,8.0,4.0,1984.8680000000002,23.1,12,0
2329,1,20.0,3,19.0,True,1.0,14,2018,China,7,0,17.0,18.0,0.0,2054.837,1.836,12,1
2348,4,21.0,4,20.0,True,1.0,13,2018,China,16,0,19.0,19.0,0.0,2154.5,0.28800000000000003,12,1
2362,6,22.0,4,21.0,True,1.0,8,2018,China,30,0,14.0,13.0,0.0,2241.224,2.025,12,1
2381,5,23.0,4,22.0,True,1.0,15,2018,China,28,0,18.0,14.0,0.0,2340.949,2.1990000000000003,12,1
2397,7,24.0,4,27.0,False,1.0,7,2018,China,17,0,11.0,10.0,1.0,2423.8410000000003,16.484,12,0
2454,27,27.0,4,29.0,False,1.0,5,2018,China,23,0,2.0,3.0,15.0,2694.2360000000003,0.521,12,0
2484,17,28.0,4,27.0,True,1.0,15,2018,China,27,0,16.0,15.0,0.0,2854.621,8.773,12,1
2498,3,29.0,4,28.0,True,1.0,8,2018,China,2,0,13.0,7.0,6.0,2930.293,1.244,12,1
2506,32,29.0,4,28.0,True,1.0,13,2018,China,5,1,20.0,16.0,0.0,2968.3920000000003,9.784,12,1
2531,16,31.0,6,33.0,False,1.0,11,2018,China,31,8,5.0,5.0,10.0,3092.384,4.82,12,0
2532,13,30.0,6,29.0,True,1.0,14,2018,China,11,8,15.0,20.0,0.0,3094.366,1.9820000000000002,12,1
2535,14,31.0,6,33.0,False,1.0,11,2018,China,24,8,6.0,1.0,25.0,3102.077,7.174,12,0
2537,12,31.0,6,33.0,False,1.0,12,2018,China,12,8,7.0,6.0,8.0,3150.699,36.235,12,0
2539,24,31.0,6,33.0,False,1.0,12,2018,China,26,8,9.0,9.0,2.0,3164.1530000000002,3.785,12,0
2541,15,31.0,4,30.0,True,1.0,6,2018,China,21,8,12.0,11.0,0.0,3170.221,0.649,12,1
2546,1,31.0,3,30.0,True,1.0,14,2018,China,7,8,17.0,18.0,0.0,3207.116,17.785,12,1
2561,2,32.0,6,34.0,False,1.0,6,2018,China,22,8,8.0,12.0,0.0,3310.469,0.6000000000000001,12,0
2586,17,33.0,4,32.0,True,1.0,15,2018,China,27,8,16.0,15.0,0.0,3453.69,19.478,12,1
2845,29,46.0,6,48.0,False,1.0,7,2018,China,9,0,10.0,17.0,0.0,4804.403,0.30100000000000005,12,0
2950,13,51.0,4,5.0,True,3.0,14,2018,China,11,0,15.0,20.0,0.0,5325.497,6.276000000000001,12,1
3074,2,2.0,6,4.0,False,1.0,6,2018,Azerbaijan,22,8,8.0,3.0,15.0,345.809,0.41500000000000004,5,0
3080,29,2.0,4,1.0,True,1.0,7,2018,Azerbaijan,9,8,20.0,15.0,0.0,351.603,0.195,5,1
3258,1,12.0,6,11.0,True,1.0,14,2018,Azerbaijan,7,0,17.0,12.0,0.0,1628.0520000000001,4.192,5,1
3304,24,15.0,6,17.0,False,1.0,12,2018,Azerbaijan,26,1,9.0,5.0,10.0,1941.4520000000002,0.5990000000000001,5,0
3342,6,17.0,5,16.0,True,1.0,8,2018,Azerbaijan,30,0,16.0,9.0,2.0,2178.099,1.679,5,1
3363,32,18.0,4,17.0,True,2.0,13,2018,Azerbaijan,5,1,18.0,11.0,0.0,2318.181,5.655,5,1
3416,19,22.0,5,26.0,False,1.0,9,2018,Azerbaijan,10,0,2.0,1.0,25.0,2667.3210000000004,0.22,5,0
3429,13,22.0,6,21.0,True,2.0,14,2018,Azerbaijan,11,0,19.0,10.0,1.0,2743.406,0.195,5,1
3441,5,23.0,5,22.0,True,1.0,15,2018,Azerbaijan,28,0,10.0,8.0,4.0,2818.112,3.7020000000000004,5,1
3456,4,24.0,5,23.0,True,1.0,13,2018,Azerbaijan,16,0,13.0,6.0,8.0,2919.634,1.955,5,1
3479,6,25.0,4,8.0,True,2.0,8,2018,Azerbaijan,30,0,16.0,9.0,2.0,3080.57,11.422,5,1
3547,22,30.0,5,32.0,False,1.0,5,2018,Azerbaijan,32,0,1.0,4.0,12.0,3512.992,6.549,5,0
3671,14,37.0,5,40.0,False,1.0,11,2018,Azerbaijan,24,0,4.0,17.0,0.0,4288.983,3.233,5,0
3677,32,36.0,6,18.0,True,3.0,13,2018,Azerbaijan,5,0,18.0,11.0,0.0,4330.5740000000005,6.611000000000001,5,1
3687,16,38.0,5,41.0,False,1.0,11,2018,Azerbaijan,31,0,5.0,16.0,0.0,4395.5650000000005,0.47400000000000003,5,0
3715,28,40.0,5,43.0,False,1.0,9,2018,Azerbaijan,3,2,3.0,14.0,0.0,4587.4710000000005,23.454,5,0
3717,22,40.0,4,10.0,True,2.0,5,2018,Azerbaijan,32,2,1.0,4.0,12.0,4605.374000000001,14.227,5,1
3718,7,39.0,4,38.0,True,2.0,7,2018,Azerbaijan,17,2,15.0,13.0,0.0,4615.8,10.426,5,1
3719,19,40.0,4,18.0,True,2.0,9,2018,Azerbaijan,10,2,2.0,1.0,25.0,4616.8240000000005,1.024,5,1
3720,1,39.0,4,27.0,True,2.0,14,2018,Azerbaijan,7,2,17.0,12.0,0.0,4633.754,16.93,5,1
3721,13,39.0,5,17.0,True,3.0,14,2018,Azerbaijan,11,2,19.0,10.0,1.0,4644.002,10.248000000000001,5,1
3722,27,40.0,6,38.0,True,3.0,5,2018,Azerbaijan,23,2,6.0,2.0,18.0,4661.055,17.053,5,1
3723,6,39.0,6,14.0,True,3.0,8,2018,Azerbaijan,30,2,16.0,9.0,2.0,4666.646000000001,5.591,5,1
3724,2,40.0,4,38.0,True,2.0,6,2018,Azerbaijan,22,2,8.0,3.0,15.0,4673.589,6.9430000000000005,5,1
3725,29,40.0,5,38.0,True,2.0,7,2018,Azerbaijan,9,2,20.0,15.0,0.0,4678.755,5.166,5,1
3726,24,40.0,4,25.0,True,2.0,12,2018,Azerbaijan,26,2,9.0,5.0,10.0,4687.594,8.839,5,1
3727,4,40.0,4,16.0,True,2.0,13,2018,Azerbaijan,16,2,13.0,6.0,8.0,4699.744000000001,12.15,5,1
3728,5,40.0,4,17.0,True,2.0,15,2018,Azerbaijan,28,2,10.0,8.0,4.0,4702.639,2.895,5,1
3729,3,40.0,4,39.0,True,2.0,8,2018,Azerbaijan,2,2,12.0,7.0,6.0,4714.399,11.760000000000002,5,1
3730,32,39.0,6,3.0,True,4.0,13,2018,Azerbaijan,5,8,18.0,11.0,0.0,4739.724,25.325000000000003,5,1
3821,6,46.0,6,7.0,True,4.0,8,2018,Azerbaijan,30,8,16.0,9.0,2.0,5649.786,1.5150000000000001,5,1
4166,22,17.0,4,19.0,False,1.0,5,2018,Spain,32,0,3.0,4.0,12.0,1701.325,2.039,32,0
4199,28,19.0,4,21.0,False,1.0,9,2018,Spain,3,0,2.0,2.0,18.0,1864.99,12.427000000000001,32,0
4224,4,20.0,4,19.0,True,1.0,13,2018,Spain,16,0,14.0,10.0,1.0,1981.268,1.389,32,1
4228,5,20.0,4,19.0,True,1.0,15,2018,Spain,28,0,18.0,11.0,0.0,1990.4460000000001,0.49200000000000005,32,1
4241,3,21.0,5,23.0,False,1.0,8,2018,Spain,2,0,8.0,8.0,4.0,2066.451,0.383,32,0
4298,17,24.0,3,20.0,True,2.0,15,2018,Spain,27,0,19.0,14.0,0.0,2334.5170000000003,0.621,32,1
4299,19,25.0,4,26.0,False,1.0,9,2018,Spain,10,0,1.0,1.0,25.0,2343.175,8.658000000000001,32,0
4306,24,25.0,4,28.0,False,1.0,12,2018,Spain,26,0,9.0,7.0,6.0,2395.443,11.360000000000001,32,0
4310,27,25.0,4,27.0,False,1.0,5,2018,Spain,23,0,4.0,17.0,0.0,2410.369,0.29900000000000004,32,0
4327,2,26.0,4,25.0,True,1.0,6,2018,Spain,22,0,15.0,9.0,2.0,2497.483,0.05,32,1
4371,15,29.0,4,28.0,True,1.0,6,2018,Spain,21,0,13.0,16.0,0.0,2737.474,22.37,32,1
4418,7,32.0,4,35.0,False,1.0,7,2018,Spain,17,0,7.0,6.0,8.0,2967.2360000000003,19.25,32,0
4429,14,33.0,4,35.0,False,1.0,11,2018,Spain,24,0,6.0,5.0,10.0,3020.6760000000004,7.564,32,0
4441,13,33.0,3,29.0,True,2.0,14,2018,Spain,11,0,20.0,12.0,0.0,3092.174,0.051000000000000004,32,1
4442,16,34.0,4,36.0,False,1.0,11,2018,Spain,31,0,5.0,3.0,15.0,3093.9900000000002,1.816,32,0
4452,6,34.0,4,36.0,False,1.0,8,2018,Spain,30,0,11.0,15.0,0.0,3165.121,0.08,32,0
4470,32,35.0,3,34.0,True,1.0,13,2018,Spain,5,0,17.0,13.0,0.0,3252.1310000000003,0.89,32,1
4550,22,41.0,3,24.0,True,2.0,5,2018,Spain,32,5,3.0,4.0,12.0,3704.1420000000003,6.117,32,1
4552,2,40.0,3,14.0,True,2.0,6,2018,Spain,22,5,15.0,9.0,2.0,3708.1110000000003,0.8140000000000001,32,1
4574,17,41.0,3,19.0,False,3.0,15,2018,Spain,27,15,19.0,14.0,0.0,3868.2030000000004,14.112,32,0
4658,6,46.0,3,12.0,True,2.0,8,2018,Spain,30,0,11.0,15.0,0.0,4330.416,2.277,32,1
5048,17,7.0,1,6.0,True,1.0,15,2018,Monaco,27,0,13.0,16.0,0.0,597.8470000000001,18.282,25,1
5096,5,9.0,6,8.0,True,1.0,15,2018,Monaco,28,0,17.0,17.0,0.0,805.706,0.21300000000000002,25,1
5133,19,12.0,1,14.0,False,1.0,9,2018,Monaco,10,0,3.0,3.0,15.0,955.2,0.875,25,0
5166,13,13.0,1,12.0,True,1.0,14,2018,Monaco,11,1,15.0,19.0,0.0,1071.261,7.473000000000001,25,1
5185,4,14.0,6,13.0,True,1.0,13,2018,Monaco,16,0,14.0,18.0,0.0,1148.813,5.199000000000001,25,1
5208,29,15.0,6,14.0,True,1.0,7,2018,Monaco,9,0,18.0,15.0,0.0,1241.94,3.8440000000000003,25,1
5210,22,16.0,1,18.0,False,1.0,5,2018,Monaco,32,0,2.0,2.0,18.0,1257.3410000000001,9.114,25,0
5222,24,16.0,1,18.0,False,1.0,12,2018,Monaco,26,0,8.0,10.0,1.0,1301.432,6.073,25,0
5228,14,17.0,1,18.0,False,1.0,11,2018,Monaco,24,0,1.0,1.0,25.0,1329.1370000000002,4.931,25,0
5231,27,17.0,1,19.0,False,1.0,5,2018,Monaco,23,0,4.0,4.0,12.0,1344.0600000000002,2.0340000000000003,25,0
5234,28,17.0,1,20.0,False,1.0,9,2018,Monaco,3,0,5.0,5.0,10.0,1358.1750000000002,2.6300000000000003,25,0
5244,32,17.0,6,16.0,True,1.0,13,2018,Monaco,5,0,16.0,11.0,0.0,1391.8870000000002,6.760000000000001,25,1
5245,7,17.0,6,16.0,True,1.0,7,2018,Monaco,17,0,19.0,13.0,0.0,1392.499,0.612,25,1
5277,3,19.0,1,23.0,False,1.0,8,2018,Monaco,2,0,7.0,20.0,0.0,1531.2350000000001,5.164000000000001,25,0
5291,17,19.0,1,19.0,False,2.0,15,2018,Monaco,27,0,13.0,16.0,0.0,1579.317,1.27,25,0
5305,6,20.0,6,19.0,True,1.0,8,2018,Monaco,30,0,12.0,14.0,0.0,1634.8680000000002,4.996,25,1
5322,2,21.0,1,23.0,False,1.0,6,2018,Monaco,22,0,9.0,12.0,0.0,1701.933,0.016,25,0
5354,15,23.0,1,27.0,False,1.0,6,2018,Monaco,21,0,6.0,6.0,8.0,1843.7530000000002,3.6630000000000003,25,0
5612,5,34.0,5,26.0,False,2.0,15,2018,Monaco,28,0,17.0,17.0,0.0,2859.1420000000003,13.06,25,0
5637,1,37.0,1,41.0,False,1.0,14,2018,Monaco,7,0,10.0,7.0,6.0,2957.317,1.786,25,0
5838,16,47.0,6,46.0,True,1.0,11,2018,Monaco,31,0,20.0,9.0,2.0,3762.273,8.607000000000001,25,1
5895,17,49.0,6,30.0,True,3.0,15,2018,Monaco,27,0,13.0,16.0,0.0,3987.6980000000003,7.0520000000000005,25,1
5897,12,50.0,6,49.0,True,1.0,12,2018,Monaco,12,0,11.0,8.0,4.0,3991.2610000000004,2.873,25,1
6107,5,59.0,1,25.0,True,3.0,15,2018,Monaco,28,0,17.0,17.0,0.0,4855.555,10.875,25,1
6258,29,68.0,5,54.0,False,2.0,7,2018,Monaco,9,0,18.0,15.0,0.0,5461.133000000001,2.189,25,0
6304,13,71.0,6,58.0,True,2.0,14,2018,Monaco,11,1,15.0,19.0,0.0,5669.147,7.034000000000001,25,1
6322,6,72.0,5,52.0,True,2.0,8,2018,Monaco,30,5,12.0,14.0,0.0,5780.505,1.9060000000000001,25,1
6586,2,9.0,1,11.0,False,1.0,6,2018,Canada,22,0,10.0,14.0,0.0,900.6080000000001,8.492,11,0
6618,15,11.0,1,13.0,False,1.0,6,2018,Canada,21,0,8.0,9.0,2.0,1047.182,4.243,11,0
6653,12,13.0,1,15.0,False,1.0,12,2018,Canada,12,0,7.0,7.0,6.0,1198.99,1.28,11,0
6670,24,14.0,1,16.0,False,1.0,12,2018,Canada,26,0,9.0,8.0,4.0,1277.585,2.565,11,0
6699,16,16.0,1,18.0,False,1.0,11,2018,Canada,31,0,3.0,3.0,15.0,1418.9360000000001,11.419,11,0
6700,19,16.0,6,18.0,False,1.0,9,2018,Canada,10,0,4.0,5.0,10.0,1421.352,2.4160000000000004,11,0
6716,14,17.0,1,19.0,False,1.0,11,2018,Canada,24,0,6.0,4.0,12.0,1496.727,13.159,11,0
6744,3,18.0,6,17.0,True,1.0,8,2018,Canada,2,0,14.0,18.0,0.0,1595.356,6.171,11,1
6761,4,19.0,6,18.0,True,1.0,13,2018,Canada,16,0,13.0,10.0,1.0,1671.9370000000001,5.488,11,1
6816,7,22.0,6,21.0,True,1.0,7,2018,Canada,17,0,11.0,13.0,0.0,1907.8470000000002,1.889,11,1
6832,1,23.0,1,22.0,True,1.0,14,2018,Canada,7,0,16.0,11.0,0.0,1982.4810000000002,0.54,11,1
6894,17,26.0,5,25.0,True,1.0,15,2018,Canada,27,0,18.0,17.0,0.0,2241.042,13.308000000000002,11,1
6986,27,32.0,6,34.0,False,1.0,5,2018,Canada,23,0,5.0,6.0,8.0,2636.079,0.8580000000000001,11,0
7054,28,36.0,6,38.0,False,1.0,9,2018,Canada,3,0,2.0,2.0,18.0,2925.784,3.567,11,0
7070,22,37.0,6,38.0,False,1.0,5,2018,Canada,32,0,1.0,1.0,25.0,2994.603,3.044,11,0
7162,3,41.0,5,23.0,True,2.0,8,2018,Canada,2,0,14.0,18.0,0.0,3385.8540000000003,3.217,11,1
7214,2,44.0,5,35.0,True,2.0,6,2018,Canada,22,0,10.0,14.0,0.0,3614.4530000000004,1.494,11,1
7279,29,48.0,6,47.0,True,1.0,7,2018,Canada,9,0,20.0,12.0,0.0,3908.034,2.411,11,1
7286,6,48.0,5,47.0,True,2.0,8,2018,Canada,30,0,15.0,16.0,0.0,3946.608,8.953000000000001,11,1
8079,16,25.0,5,27.0,False,1.0,11,2018,France,31,0,4.0,2.0,18.0,2697.2940000000003,13.997000000000002,13,0
8107,24,26.0,6,28.0,False,1.0,12,2018,France,26,0,7.0,8.0,4.0,2833.7980000000002,0.20400000000000001,13,0
8133,14,28.0,5,32.0,False,1.0,11,2018,France,24,0,5.0,4.0,12.0,2990.335,1.9780000000000002,13,0
8138,2,28.0,4,27.0,True,1.0,6,2018,France,22,0,13.0,18.0,0.0,3019.409,4.347,13,1
8141,7,28.0,6,30.0,False,1.0,7,2018,France,17,0,9.0,6.0,8.0,3030.375,4.708,13,0
8196,4,31.0,6,33.0,False,1.0,13,2018,France,16,0,8.0,10.0,1.0,3333.527,1.8250000000000002,13,0
8217,19,33.0,5,34.0,False,1.0,9,2018,France,10,0,1.0,1.0,25.0,3458.454,0.778,13,0
8237,27,34.0,6,36.0,False,1.0,5,2018,France,23,0,6.0,3.0,15.0,3575.8630000000003,4.966,13,0
8248,29,34.0,6,36.0,False,1.0,7,2018,France,9,0,10.0,11.0,0.0,3633.6110000000003,0.9730000000000001,13,0
8266,32,35.0,5,34.0,True,1.0,13,2018,France,5,0,15.0,13.0,0.0,3744.949,11.419,13,1
8293,12,37.0,4,36.0,True,1.0,12,2018,France,12,0,12.0,9.0,2.0,3914.289,4.390000000000001,13,1
8317,13,38.0,6,37.0,True,1.0,14,2018,France,11,0,20.0,14.0,0.0,4038.8550000000005,4.503,13,1
8326,28,39.0,4,38.0,True,2.0,9,2018,France,3,0,2.0,7.0,6.0,4106.43,0.9800000000000001,13,1
8339,22,40.0,4,39.0,True,2.0,5,2018,France,32,0,3.0,5.0,10.0,4182.939,31.832,13,1
8347,6,40.0,5,39.0,True,1.0,8,2018,France,30,0,17.0,12.0,0.0,4224.1320000000005,3.459,13,1
8457,3,46.0,4,45.0,True,2.0,8,2018,France,2,0,16.0,16.0,0.0,4840.81,9.274000000000001,13,1
8547,3,51.0,6,5.0,True,3.0,8,2018,France,2,15,16.0,16.0,0.0,5419.165,0.53,13,1
8837,16,15.0,5,17.0,False,1.0,11,2018,Austria,31,5,4.0,1.0,25.0,1066.659,4.979,2,0
8838,27,15.0,6,17.0,False,1.0,5,2018,Austria,23,5,3.0,2.0,18.0,1070.669,4.010000000000001,2,0
8839,14,15.0,5,17.0,False,1.0,11,2018,Austria,24,5,7.0,18.0,0.0,1072.226,1.5570000000000002,2,0
8840,22,15.0,6,17.0,False,1.0,5,2018,Austria,32,5,6.0,3.0,15.0,1074.605,2.379,2,0
8841,29,15.0,6,17.0,False,1.0,7,2018,Austria,9,5,5.0,4.0,12.0,1086.155,11.55,2,0
8844,15,15.0,5,14.0,True,1.0,6,2018,Austria,21,5,11.0,6.0,8.0,1094.8690000000001,1.1360000000000001,2,1
8845,24,15.0,6,17.0,False,1.0,12,2018,Austria,26,12,9.0,12.0,0.0,1097.2540000000001,2.3850000000000002,2,0
8847,5,15.0,6,14.0,True,1.0,15,2018,Austria,28,12,14.0,14.0,0.0,1104.005,5.917000000000001,2,1
8848,1,15.0,5,14.0,True,1.0,14,2018,Austria,7,12,12.0,11.0,0.0,1109.16,5.155,2,1
8850,4,15.0,5,14.0,True,1.0,13,2018,Austria,16,12,18.0,9.0,2.0,1112.347,0.559,2,1
8853,3,15.0,5,14.0,True,1.0,8,2018,Austria,2,14,13.0,8.0,4.0,1116.1560000000002,0.438,2,1
9011,17,24.0,5,23.0,True,1.0,15,2018,Austria,27,0,17.0,13.0,0.0,1754.2730000000001,0.521,2,1
9016,19,25.0,5,26.0,False,1.0,9,2018,Austria,10,0,2.0,16.0,0.0,1768.846,4.823,2,0
9059,2,27.0,5,26.0,True,1.0,6,2018,Austria,22,0,16.0,7.0,6.0,1945.401,1.493,2,1
9075,7,28.0,6,30.0,False,1.0,7,2018,Austria,17,0,8.0,5.0,10.0,2011.083,18.513,2,0
9190,24,34.0,4,19.0,True,2.0,12,2018,Austria,26,0,9.0,12.0,0.0,2454.516,0.7190000000000001,2,1
9252,14,38.0,4,23.0,True,2.0,11,2018,Austria,24,0,7.0,18.0,0.0,2681.3590000000004,2.5700000000000003,2,1
9322,6,40.0,4,39.0,True,2.0,8,2018,Austria,30,0,15.0,15.0,0.0,2956.318,1.1500000000000001,2,1
9386,32,45.0,4,44.0,True,1.0,13,2018,Austria,5,0,20.0,10.0,1.0,3219.0060000000003,1.5830000000000002,2,1
9496,19,52.0,4,27.0,True,2.0,9,2018,Austria,10,0,2.0,16.0,0.0,3640.9300000000003,6.519,2,1
9654,17,60.0,4,36.0,True,2.0,15,2018,Austria,27,0,17.0,13.0,0.0,4305.37,7.854,2,1
