,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,StartPosition,EndPosition,Points,TimeSeconds,LapTimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTimeSeconds,TotalTime,PitTime,TotalTimeWithPit,0,TotalTimeWoopWoop
607,0 days 01:14:35.438000,14,0 days 00:01:37.134000,8,NA,NA,0 days 00:00:36.931000,0 days 00:00:30.428000,0 days 00:00:29.775000,0 days 01:13:35.235000,0 days 01:14:05.663000,0 days 01:14:35.438000,281.0,300.0,294.0,307.0,False,MEDIUM,8.0,True,1,0 days 01:12:58.304000,Alpine,ALO,1,True,2021-12-05 17:45:05.522,13.0,13.0,0.0,4475.438,97.134,NA,NA,36.931000000000004,30.428,29.775000000000002,4378.304,97.13400000000001,NA,NA,NA,673.819
705,0 days 01:14:37.318000,7,0 days 00:01:36.066000,8,NA,NA,0 days 00:00:36.035000,0 days 00:00:30.381000,0 days 00:00:29.650000,0 days 01:13:37.287000,0 days 01:14:07.668000,0 days 01:14:37.318000,281.0,306.0,295.0,310.0,False,MEDIUM,8.0,True,1,0 days 01:13:01.252000,Alfa Romeo Racing,RAI,1,True,2021-12-05 17:45:08.470,12.0,15.0,0.0,4477.318,96.066,NA,NA,36.035000000000004,30.381,29.650000000000002,4381.252,96.066,NA,NA,NA,674.702
754,0 days 01:14:38.656000,5,0 days 00:01:35.665000,8,NA,NA,0 days 00:00:35.645000,0 days 00:00:30.366000,0 days 00:00:29.654000,0 days 01:13:38.636000,0 days 01:14:09.002000,0 days 01:14:38.656000,280.0,298.0,292.0,300.0,False,HARD,9.0,False,1,0 days 01:13:02.991000,Aston Martin,VET,1,True,2021-12-05 17:45:10.209,17.0,16.0,0.0,4478.656,95.665,NA,NA,35.645,30.366000000000003,29.654000000000003,4382.991,95.66500000000002,NA,NA,NA,675.509
507,0 days 01:14:42.367000,18,0 days 00:01:35.907000,8,NA,NA,0 days 00:00:35.768000,0 days 00:00:30.376000,0 days 00:00:29.763000,0 days 01:13:42.228000,0 days 01:14:12.604000,0 days 01:14:42.367000,276.0,294.0,289.0,297.0,False,MEDIUM,8.0,True,1,0 days 01:13:06.460000,Aston Martin,STR,1,True,2021-12-05 17:45:13.678,18.0,11.0,0.0,4482.367,95.90700000000001,NA,NA,35.768,30.376,29.763,4386.46,95.90700000000001,NA,NA,NA,678.469
828,0 days 01:14:44.609000,63,0 days 00:01:36.160000,8,NA,NA,0 days 00:00:35.928000,0 days 00:00:30.457000,0 days 00:00:29.775000,0 days 01:13:44.377000,0 days 01:14:14.834000,0 days 01:14:44.609000,277.0,300.0,295.0,302.0,False,MEDIUM,8.0,True,1,0 days 01:13:08.449000,Williams,RUS,1,True,2021-12-05 17:45:15.667,14.0,19.0,0.0,4484.609,96.16000000000001,NA,NA,35.928000000000004,30.457,29.775000000000002,4388.4490000000005,96.16000000000001,NA,NA,NA,680.094
843,0 days 01:14:46.068000,47,0 days 00:01:36.043000,8,NA,NA,0 days 00:00:35.870000,0 days 00:00:30.417000,0 days 00:00:29.756000,0 days 01:13:45.895000,0 days 01:14:16.312000,0 days 01:14:46.068000,283.0,307.0,292.0,312.0,True,MEDIUM,8.0,True,1,0 days 01:13:10.025000,Haas F1 Team,MSC,1,True,2021-12-05 17:45:17.243,19.0,20.0,0.0,4486.068,96.043,NA,NA,35.870000000000005,30.417,29.756,4390.025000000001,96.043,NA,NA,NA,681.1740000000001
557,0 days 01:14:47.929000,6,0 days 00:01:36.115000,8,NA,NA,0 days 00:00:35.800000,0 days 00:00:30.272000,0 days 00:00:30.043000,0 days 01:13:47.614000,0 days 01:14:17.886000,0 days 01:14:47.929000,276.0,297.0,292.0,296.0,False,MEDIUM,8.0,True,1,0 days 01:13:11.814000,Williams,LAT,1,True,2021-12-05 17:45:19.032,16.0,12.0,0.0,4487.929,96.11500000000001,NA,NA,35.800000000000004,30.272000000000002,30.043000000000003,4391.814,96.11500000000001,NA,NA,NA,682.62
813,0 days 01:14:52.216000,9,0 days 00:01:37.558000,8,NA,NA,0 days 00:00:36.682000,0 days 00:00:30.801000,0 days 00:00:30.075000,0 days 01:13:51.340000,0 days 01:14:22.141000,0 days 01:14:52.216000,279.0,303.0,289.0,307.0,False,MEDIUM,8.0,True,1,0 days 01:13:14.658000,Haas F1 Team,MAZ,1,True,2021-12-05 17:45:21.876,20.0,18.0,0.0,4492.216,97.558,NA,NA,36.682,30.801000000000002,30.075000000000003,4394.658,97.558,NA,NA,NA,685.8860000000001
8,0 days 01:15:41.275000,44,0 days 00:01:33.150000,9,NA,NA,0 days 00:00:34.304000,0 days 00:00:29.712000,0 days 00:00:29.134000,0 days 01:14:42.429000,0 days 01:15:12.141000,0 days 01:15:41.275000,282.0,293.0,294.0,300.0,False,MEDIUM,18.0,False,1,0 days 01:14:08.125000,Mercedes,HAM,1,True,2021-12-05 17:46:15.343,1.0,1.0,26.0,4541.275000000001,93.15,NA,NA,34.304,29.712000000000003,29.134,4448.125,93.15,NA,NA,NA,748.335
108,0 days 01:15:43.874000,77,0 days 00:01:33.701000,9,NA,NA,0 days 00:00:34.689000,0 days 00:00:29.726000,0 days 00:00:29.286000,0 days 01:14:44.862000,0 days 01:15:14.588000,0 days 01:15:43.874000,284.0,299.0,295.0,303.0,False,MEDIUM,16.0,False,1,0 days 01:14:10.173000,Mercedes,BOT,1,True,2021-12-05 17:46:17.391,2.0,3.0,15.0,4543.874000000001,93.70100000000001,NA,NA,34.689,29.726000000000003,29.286,4450.173000000001,93.70100000000001,NA,NA,NA,749.907
58,0 days 01:15:45.172000,33,0 days 00:01:33.573000,9,NA,NA,0 days 00:00:34.700000,0 days 00:00:29.649000,0 days 00:00:29.224000,0 days 01:14:46.299000,0 days 01:15:15.948000,0 days 01:15:45.172000,NA,303.0,297.0,309.0,False,MEDIUM,13.0,False,1,0 days 01:14:11.599000,Red Bull Racing,VER,1,True,2021-12-05 17:46:18.817,3.0,2.0,18.0,4545.1720000000005,93.57300000000001,NA,NA,34.7,29.649,29.224,4451.599,93.57300000000001,NA,NA,NA,750.552
308,0 days 01:15:50.545000,16,0 days 00:01:33.963000,9,NA,NA,0 days 00:00:34.626000,0 days 00:00:29.885000,0 days 00:00:29.452000,0 days 01:14:51.208000,0 days 01:15:21.093000,0 days 01:15:50.545000,287.0,306.0,291.0,311.0,False,MEDIUM,14.0,False,1,0 days 01:14:16.582000,Ferrari,LEC,1,True,2021-12-05 17:46:23.800,4.0,7.0,6.0,4550.545,93.96300000000001,NA,NA,34.626000000000005,29.885,29.452,4456.582,93.96300000000001,NA,NA,NA,754.3470000000001
799,0 days 01:15:53.252000,11,0 days 00:01:34.138000,9,NA,NA,0 days 00:00:34.886000,0 days 00:00:29.863000,0 days 00:00:29.389000,0 days 01:14:54,0 days 01:15:23.863000,0 days 01:15:53.252000,285.0,302.0,294.0,304.0,True,MEDIUM,16.0,False,1,0 days 01:14:19.114000,Red Bull Racing,PER,1,True,2021-12-05 17:46:26.332,5.0,17.0,0.0,4553.252,94.138,NA,NA,34.886,29.863000000000003,29.389000000000003,4459.1140000000005,94.138,NA,NA,NA,756.475
158,0 days 01:16:03.043000,31,0 days 00:01:35.242000,9,NA,NA,0 days 00:00:35.357000,0 days 00:00:30.293000,0 days 00:00:29.592000,0 days 01:15:03.158000,0 days 01:15:33.451000,0 days 01:16:03.043000,283.0,300.0,294.0,305.0,False,MEDIUM,16.0,False,1,0 days 01:14:27.801000,Alpine,OCO,2,True,2021-12-05 17:46:35.019,9.0,4.0,12.0,4563.043000000001,95.242,NA,NA,35.357,30.293000000000003,29.592000000000002,4467.801,95.242,NA,NA,NA,764.138
458,0 days 01:16:02.053000,4,0 days 00:01:35.794000,9,NA,NA,0 days 00:00:35.481000,0 days 00:00:30.438000,0 days 00:00:29.875000,0 days 01:15:01.740000,0 days 01:15:32.178000,0 days 01:16:02.053000,280.0,300.0,291.0,299.0,False,SOFT,13.0,False,1,0 days 01:14:26.259000,McLaren,NOR,2,True,2021-12-05 17:46:33.477,7.0,10.0,1.0,4562.053,95.79400000000001,NA,NA,35.481,30.438000000000002,29.875000000000004,4466.259,95.79400000000001,NA,NA,NA,764.186
208,0 days 01:16:04.130000,3,0 days 00:01:34.915000,9,NA,NA,0 days 00:00:35.316000,0 days 00:00:30.073000,0 days 00:00:29.526000,0 days 01:15:04.531000,0 days 01:15:34.604000,0 days 01:16:04.130000,285.0,310.0,301.0,309.0,False,HARD,9.0,True,1,0 days 01:14:29.215000,McLaren,RIC,2,True,2021-12-05 17:46:36.433,11.0,5.0,10.0,4564.13,94.915,NA,NA,35.316,30.073,29.526000000000003,4469.215,94.91500000000002,NA,NA,NA,764.239
258,0 days 01:16:06.063000,10,0 days 00:01:35.257000,9,NA,NA,0 days 00:00:35.498000,0 days 00:00:30.048000,0 days 00:00:29.711000,0 days 01:15:06.304000,0 days 01:15:36.352000,0 days 01:16:06.063000,282.0,298.0,291.0,300.0,False,MEDIUM,16.0,False,1,0 days 01:14:30.806000,AlphaTauri,GAS,2,True,2021-12-05 17:46:38.024,6.0,6.0,8.0,4566.063,95.257,NA,NA,35.498000000000005,30.048000000000002,29.711000000000002,4470.8060000000005,95.257,NA,NA,NA,766.433
358,0 days 01:16:09.060000,55,0 days 00:01:34.932000,9,NA,NA,0 days 00:00:35.386000,0 days 00:00:29.782000,0 days 00:00:29.764000,0 days 01:15:09.514000,0 days 01:15:39.296000,0 days 01:16:09.060000,288.0,306.0,314.0,303.0,False,HARD,9.0,True,1,0 days 01:14:34.128000,Ferrari,SAI,2,True,2021-12-05 17:46:41.346,15.0,8.0,4.0,4569.06,94.932,NA,NA,35.386,29.782000000000004,29.764000000000003,4474.128000000001,94.93200000000002,NA,NA,NA,766.48
408,0 days 01:16:08.978000,99,0 days 00:01:35.673000,9,NA,NA,0 days 00:00:35.452000,0 days 00:00:30.265000,0 days 00:00:29.956000,0 days 01:15:08.757000,0 days 01:15:39.022000,0 days 01:16:08.978000,NA,298.0,291.0,299.0,False,MEDIUM,15.0,False,1,0 days 01:14:33.305000,Alfa Romeo Racing,GIO,2,True,2021-12-05 17:46:40.523,10.0,9.0,2.0,4568.978,95.673,NA,NA,35.452000000000005,30.265,29.956000000000003,4473.305,95.67300000000002,NA,NA,NA,767.3950000000001
608,0 days 01:16:11.039000,14,0 days 00:01:35.601000,9,NA,NA,0 days 00:00:35.484000,0 days 00:00:30.414000,0 days 00:00:29.703000,0 days 01:15:10.922000,0 days 01:15:41.336000,0 days 01:16:11.039000,NA,299.0,293.0,305.0,False,MEDIUM,9.0,True,1,0 days 01:14:35.438000,Alpine,ALO,24,False,2021-12-05 17:46:42.656,13.0,13.0,0.0,4571.039000000001,95.601,NA,NA,35.484,30.414,29.703000000000003,4475.438,95.601,NA,NA,NA,769.4200000000001
657,0 days 01:16:11.729000,22,0 days 00:01:35.805000,9,NA,NA,0 days 00:00:36.043000,0 days 00:00:30.324000,0 days 00:00:29.438000,0 days 01:15:11.967000,0 days 01:15:42.291000,0 days 01:16:11.729000,281.0,301.0,306.0,320.0,False,MEDIUM,16.0,False,1,0 days 01:14:35.924000,AlphaTauri,TSU,24,False,2021-12-05 17:46:43.142,8.0,14.0,0.0,4571.729,95.805,NA,NA,36.043,30.324,29.438000000000002,4475.924,95.805,NA,NA,NA,769.599
706,0 days 01:16:12.606000,7,0 days 00:01:35.288000,9,NA,NA,0 days 00:00:35.730000,0 days 00:00:30.144000,0 days 00:00:29.414000,0 days 01:15:13.048000,0 days 01:15:43.192000,0 days 01:16:12.606000,285.0,314.0,276.0,327.0,False,MEDIUM,9.0,True,1,0 days 01:14:37.318000,Alfa Romeo Racing,RAI,24,False,2021-12-05 17:46:44.536,12.0,15.0,0.0,4572.606000000001,95.28800000000001,NA,NA,35.730000000000004,30.144000000000002,29.414,4477.318,95.28800000000001,NA,NA,NA,769.99
755,0 days 01:16:16.058000,5,0 days 00:01:37.402000,9,NA,NA,0 days 00:00:35.749000,0 days 00:00:30.292000,0 days 00:00:31.361000,0 days 01:15:14.405000,0 days 01:15:44.697000,0 days 01:16:16.058000,NA,300.0,108.0,302.0,False,HARD,10.0,False,1,0 days 01:14:38.656000,Aston Martin,VET,24,False,2021-12-05 17:46:45.874,17.0,16.0,0.0,4576.058,97.402,NA,NA,35.749,30.292,31.361,4478.656,97.402,NA,NA,NA,772.9110000000001
508,0 days 01:16:24.721000,18,0 days 00:01:42.354000,9,NA,0 days 01:16:23.683000,0 days 00:00:35.517000,0 days 00:00:30.329000,0 days 00:00:36.508000,0 days 01:15:17.884000,0 days 01:15:48.213000,0 days 01:16:24.721000,NA,295.0,NA,298.0,False,MEDIUM,9.0,True,1,0 days 01:14:42.367000,Aston Martin,STR,24,False,2021-12-05 17:46:49.585,18.0,11.0,0.0,4584.7210000000005,102.35400000000001,4583.683,NA,35.517,30.329,36.508,4482.367,102.35400000000001,27.164999999999964,129.51899999999998,NA,780.8230000000001
829,0 days 01:16:26.997000,63,0 days 00:01:42.388000,9,NA,0 days 01:16:25.972000,0 days 00:00:35.671000,0 days 00:00:30.361000,0 days 00:00:36.356000,0 days 01:15:20.280000,0 days 01:15:50.641000,0 days 01:16:26.997000,278.0,299.0,NA,303.0,False,MEDIUM,9.0,True,1,0 days 01:14:44.609000,Williams,RUS,24,False,2021-12-05 17:46:51.827,14.0,19.0,0.0,4586.997,102.388,4585.972000000001,NA,35.671,30.361,36.356,4484.609,102.388,20.55699999999979,122.9449999999998,NA,782.4820000000001
558,0 days 01:16:31.229000,6,0 days 00:01:43.300000,9,NA,NA,0 days 00:00:35.742000,0 days 00:00:30.689000,0 days 00:00:36.869000,0 days 01:15:23.671000,0 days 01:15:54.360000,0 days 01:16:31.229000,277.0,295.0,254.0,302.0,False,MEDIUM,9.0,True,1,0 days 01:14:47.929000,Williams,LAT,24,False,2021-12-05 17:46:55.147,16.0,12.0,0.0,4591.229,103.30000000000001,NA,NA,35.742000000000004,30.689000000000004,36.869,4487.929,103.30000000000001,NA,NA,NA,785.9200000000001
814,0 days 01:16:42.045000,9,0 days 00:01:49.829000,9,NA,NA,0 days 00:00:36.483000,0 days 00:00:30.660000,0 days 00:00:42.686000,0 days 01:15:28.699000,0 days 01:15:59.359000,0 days 01:16:42.045000,281.0,304.0,190.0,129.0,False,MEDIUM,9.0,True,1,0 days 01:14:52.216000,Haas F1 Team,MAZ,24,False,2021-12-05 17:46:59.434,20.0,18.0,0.0,4602.045,109.82900000000001,NA,NA,36.483000000000004,30.66,42.686,4492.216,109.82900000000001,NA,NA,NA,795.715
844,0 days 01:24:52.404000,47,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEDIUM,9.0,True,1,0 days 01:14:46.068000,Haas F1 Team,MSC,24,False,2021-12-05 17:46:53.286,19.0,20.0,0.0,5092.404,NA,NA,NA,NA,NA,NA,4486.068,NA,NA,NA,NA,NA
9,0 days 01:17:43.318000,44,0 days 00:02:02.043000,10,NA,0 days 01:17:42.299000,0 days 00:00:40.924000,0 days 00:00:37.885000,0 days 00:00:43.234000,0 days 01:16:22.199000,0 days 01:17:00.084000,0 days 01:17:43.318000,114.0,161.0,NA,204.0,False,MEDIUM,19.0,False,1,0 days 01:15:41.275000,Mercedes,HAM,24,False,2021-12-05 17:47:48.493,1.0,1.0,26.0,4663.318,122.043,4662.299,NA,40.924,37.885000000000005,43.234,4541.275000000001,122.043,20.576000000000022,142.61900000000003,NA,870.378
59,0 days 01:17:49.402000,33,0 days 00:02:04.230000,10,NA,NA,0 days 00:00:40.446000,0 days 00:00:41.792000,0 days 00:00:41.992000,0 days 01:16:25.618000,0 days 01:17:07.410000,0 days 01:17:49.402000,182.0,220.0,254.0,248.0,False,MEDIUM,14.0,False,1,0 days 01:15:45.172000,Red Bull Racing,VER,24,False,2021-12-05 17:47:52.390,3.0,2.0,18.0,4669.402,124.23,NA,NA,40.446000000000005,41.792,41.992000000000004,4545.1720000000005,124.23,NA,NA,NA,874.782
109,0 days 01:17:51.314000,77,0 days 00:02:07.440000,10,NA,0 days 01:17:51.117000,0 days 00:00:40.104000,0 days 00:00:43.253000,0 days 00:00:44.083000,0 days 01:16:23.978000,0 days 01:17:07.231000,0 days 01:17:51.314000,153.0,214.0,NA,227.0,False,MEDIUM,17.0,False,1,0 days 01:15:43.874000,Mercedes,BOT,24,False,2021-12-05 17:47:51.092,2.0,3.0,15.0,4671.314,127.44000000000001,4671.117,NA,40.104,43.253,44.083000000000006,4543.874000000001,127.44,20.850000000000364,148.29000000000036,NA,877.3470000000001
309,0 days 01:17:55.841000,16,0 days 00:02:05.296000,10,NA,0 days 01:17:54.817000,0 days 00:00:42.168000,0 days 00:00:39.256000,0 days 00:00:43.872000,0 days 01:16:32.713000,0 days 01:17:11.969000,0 days 01:17:55.841000,245.0,173.0,NA,193.0,False,MEDIUM,15.0,False,1,0 days 01:15:50.545000,Ferrari,LEC,24,False,2021-12-05 17:47:57.763,4.0,7.0,6.0,4675.841,125.296,4674.817,NA,42.168,39.256,43.872,4550.545,125.296,20.55200000000059,145.84800000000058,NA,879.643
800,0 days 01:17:59.092000,11,0 days 00:02:05.840000,10,NA,0 days 01:17:58.059000,0 days 00:00:44.601000,0 days 00:00:38.244000,0 days 00:00:42.995000,0 days 01:16:37.853000,0 days 01:17:16.097000,0 days 01:17:59.092000,254.0,230.0,NA,197.0,False,MEDIUM,17.0,False,1,0 days 01:15:53.252000,Red Bull Racing,PER,24,False,2021-12-05 17:48:00.470,5.0,17.0,0.0,4679.092000000001,125.84,4678.059,NA,44.601000000000006,38.244,42.995000000000005,4553.252,125.84,20.70600000000013,146.54600000000013,NA,882.315
209,0 days 01:18:08.894000,3,0 days 00:02:04.764000,10,NA,NA,0 days 00:00:45.850000,0 days 00:00:39.805000,0 days 00:00:39.109000,0 days 01:16:49.980000,0 days 01:17:29.785000,0 days 01:18:08.894000,261.0,145.0,241.0,228.0,False,HARD,10.0,True,1,0 days 01:16:04.130000,McLaren,RIC,24,False,2021-12-05 17:48:11.348,11.0,5.0,10.0,4688.894,124.76400000000001,NA,NA,45.85,39.805,39.109,4564.13,124.76400000000001,NA,NA,NA,889.003
159,0 days 01:18:08.057000,31,0 days 00:02:05.014000,10,NA,NA,0 days 00:00:44.532000,0 days 00:00:40.536000,0 days 00:00:39.946000,0 days 01:16:47.575000,0 days 01:17:28.111000,0 days 01:18:08.057000,254.0,173.0,202.0,209.0,False,MEDIUM,17.0,False,1,0 days 01:16:03.043000,Alpine,OCO,24,False,2021-12-05 17:48:10.261,9.0,4.0,12.0,4688.057000000001,125.01400000000001,NA,NA,44.532000000000004,40.536,39.946000000000005,4563.043000000001,125.01400000000001,NA,NA,NA,889.152
259,0 days 01:18:10.347000,10,0 days 00:02:04.284000,10,NA,NA,0 days 00:00:47.781000,0 days 00:00:37.690000,0 days 00:00:38.813000,0 days 01:16:53.844000,0 days 01:17:31.534000,0 days 01:18:10.347000,249.0,142.0,234.0,275.0,False,MEDIUM,17.0,False,1,0 days 01:16:06.063000,AlphaTauri,GAS,24,False,2021-12-05 17:48:13.281,6.0,6.0,8.0,4690.347000000001,124.284,NA,NA,47.781000000000006,37.690000000000005,38.813,4566.063,124.284,NA,NA,NA,890.7170000000001
459,0 days 01:18:08.914000,4,0 days 00:02:06.861000,10,NA,0 days 01:18:07.910000,0 days 00:00:43.933000,0 days 00:00:40.676000,0 days 00:00:42.252000,0 days 01:16:45.986000,0 days 01:17:26.662000,0 days 01:18:08.914000,256.0,216.0,NA,225.0,False,SOFT,14.0,False,1,0 days 01:16:02.053000,McLaren,NOR,24,False,2021-12-05 17:48:09.271,7.0,10.0,1.0,4688.914000000001,126.861,4687.91,NA,43.933,40.676,42.252,4562.053,126.86100000000002,20.963000000000648,147.82400000000067,NA,891.047
359,0 days 01:18:15.586000,55,0 days 00:02:06.526000,10,NA,NA,0 days 00:00:51.839000,0 days 00:00:34.346000,0 days 00:00:40.341000,0 days 01:17:00.899000,0 days 01:17:35.245000,0 days 01:18:15.586000,246.0,228.0,231.0,221.0,False,HARD,10.0,True,1,0 days 01:16:09.060000,Ferrari,SAI,24,False,2021-12-05 17:48:16.278,15.0,8.0,4.0,4695.586,126.52600000000001,NA,NA,51.839000000000006,34.346000000000004,40.341,4569.06,126.52600000000001,NA,NA,NA,893.0060000000001
409,0 days 01:18:16.113000,99,0 days 00:02:07.135000,10,NA,NA,0 days 00:00:53.947000,0 days 00:00:34.409000,0 days 00:00:38.779000,0 days 01:17:02.925000,0 days 01:17:37.334000,0 days 01:18:16.113000,247.0,231.0,256.0,217.0,False,MEDIUM,16.0,False,1,0 days 01:16:08.978000,Alfa Romeo Racing,GIO,24,False,2021-12-05 17:48:16.196,10.0,9.0,2.0,4696.113,127.135,NA,NA,53.947,34.409,38.779,4568.978,127.13499999999999,NA,NA,NA,894.5300000000001
658,0 days 01:18:20.278000,22,0 days 00:02:08.549000,10,NA,NA,0 days 00:00:55.087000,0 days 00:00:37.357000,0 days 00:00:36.105000,0 days 01:17:06.816000,0 days 01:17:44.173000,0 days 01:18:20.278000,240.0,274.0,262.0,191.0,False,MEDIUM,17.0,False,1,0 days 01:16:11.729000,AlphaTauri,TSU,4,False,2021-12-05 17:48:18.947,8.0,14.0,0.0,4700.278,128.549,NA,NA,55.087,37.357,36.105000000000004,4571.729,128.549,NA,NA,NA,898.148
707,0 days 01:18:22.582000,7,0 days 00:02:09.976000,10,NA,NA,0 days 00:00:56.311000,0 days 00:00:37.294000,0 days 00:00:36.371000,0 days 01:17:08.917000,0 days 01:17:46.211000,0 days 01:18:22.582000,217.0,261.0,249.0,245.0,False,MEDIUM,10.0,True,1,0 days 01:16:12.606000,Alfa Romeo Racing,RAI,4,False,2021-12-05 17:48:19.824,12.0,15.0,0.0,4702.582,129.976,NA,NA,56.31100000000001,37.294000000000004,36.371,4572.606000000001,129.97600000000003,NA,NA,NA,899.9660000000001
756,0 days 01:18:23.296000,5,0 days 00:02:07.238000,10,NA,NA,0 days 00:00:53.607000,0 days 00:00:38.772000,0 days 00:00:34.859000,0 days 01:17:09.665000,0 days 01:17:48.437000,0 days 01:18:23.296000,236.0,261.0,196.0,275.0,False,HARD,11.0,False,1,0 days 01:16:16.058000,Aston Martin,VET,4,False,2021-12-05 17:48:23.276,17.0,16.0,0.0,4703.296,127.23800000000001,NA,NA,53.607000000000006,38.772000000000006,34.859,4576.058,127.23800000000003,NA,NA,NA,900.1490000000001
609,0 days 01:18:21.800000,14,0 days 00:02:10.761000,10,NA,0 days 01:18:21.808000,0 days 00:00:52.762000,0 days 00:00:34.669000,0 days 00:00:43.330000,0 days 01:17:03.801000,0 days 01:17:38.470000,0 days 01:18:21.800000,243.0,206.0,NA,135.0,False,MEDIUM,10.0,True,1,0 days 01:16:11.039000,Alpine,ALO,4,False,2021-12-05 17:48:18.257,13.0,13.0,0.0,4701.8,130.761,4701.808,NA,52.762,34.669000000000004,43.330000000000005,4571.039000000001,130.76100000000002,19.35900000000038,150.1200000000004,NA,900.181
559,0 days 01:18:37.676000,6,0 days 00:02:06.447000,10,NA,0 days 01:18:36.709000,0 days 00:00:41.791000,0 days 00:00:41.337000,0 days 00:00:43.319000,0 days 01:17:13.020000,0 days 01:17:54.357000,0 days 01:18:37.676000,173.0,203.0,NA,177.0,False,MEDIUM,10.0,True,1,0 days 01:16:31.229000,Williams,LAT,4,False,2021-12-05 17:48:38.447,16.0,12.0,0.0,4717.676,126.447,4716.709000000001,NA,41.791000000000004,41.337,43.319,4591.229,126.44700000000002,24.19799999999941,150.6449999999994,NA,912.3670000000001
815,0 days 01:18:44.948000,9,0 days 00:02:02.903000,10,NA,NA,0 days 00:00:45.226000,0 days 00:00:36.129000,0 days 00:00:41.548000,0 days 01:17:27.271000,0 days 01:18:03.400000,0 days 01:18:44.948000,252.0,189.0,209.0,189.0,False,MEDIUM,10.0,True,1,0 days 01:16:42.045000,Haas F1 Team,MAZ,4,False,2021-12-05 17:48:49.263,20.0,18.0,0.0,4724.948,122.903,NA,NA,45.226000000000006,36.129000000000005,41.548,4602.045,122.90300000000002,NA,NA,NA,918.618
830,0 days 01:18:47.003000,63,0 days 00:02:20.006000,10,0 days 01:16:46.529000,NA,0 days 00:01:00.623000,0 days 00:00:38.371000,0 days 00:00:41.012000,0 days 01:17:27.620000,0 days 01:18:05.991000,0 days 01:18:47.003000,274.0,135.0,266.0,175.0,False,HARD,1.0,True,2,0 days 01:16:26.997000,Williams,RUS,4,False,2021-12-05 17:48:34.215,14.0,19.0,0.0,4727.003000000001,140.006,NA,4606.529,60.623000000000005,38.371,41.012,4586.997,140.006,NA,NA,NA,922.488
509,0 days 01:18:52.396000,18,0 days 00:02:27.675000,10,0 days 01:16:50.848000,NA,0 days 00:01:04.244000,0 days 00:00:42.100000,0 days 00:00:41.331000,0 days 01:17:28.965000,0 days 01:18:11.065000,0 days 01:18:52.396000,260.0,105.0,242.0,203.0,False,HARD,2.0,False,2,0 days 01:16:24.721000,Aston Martin,STR,4,False,2021-12-05 17:48:31.939,18.0,11.0,0.0,4732.396000000001,147.675,NA,4610.848,64.244,42.1,41.331,4584.7210000000005,147.675,NA,NA,NA,928.498
60,0 days 01:20:41.445000,33,NA,11,NA,NA,0 days 00:00:54.726000,0 days 00:00:55.784000,0 days 00:01:01.527000,0 days 01:18:44.134000,0 days 01:19:39.993000,0 days 01:20:41.558000,183.0,122.0,140.0,121.0,False,MEDIUM,15.0,False,1,0 days 01:17:49.402000,Red Bull Racing,VER,4,False,2021-12-05 17:49:56.620,3.0,2.0,18.0,4841.445000000001,NA,NA,NA,54.726000000000006,55.784000000000006,61.527,4669.402,172.03700000000003,NA,NA,NA,1046.8190000000002
160,0 days 01:20:46.882000,31,NA,11,NA,NA,0 days 00:00:45.057000,0 days 00:00:51.278000,0 days 00:01:02.496000,0 days 01:18:53.111000,0 days 01:19:44.386000,0 days 01:20:47.018000,163.0,112.0,226.0,148.0,False,MEDIUM,18.0,False,1,0 days 01:18:08.057000,Alpine,OCO,4,False,2021-12-05 17:50:15.275,9.0,4.0,12.0,4846.8820000000005,NA,NA,NA,45.057,51.278000000000006,62.496,4688.057000000001,158.83100000000002,NA,NA,NA,1047.9830000000002
210,0 days 01:20:48.278000,3,NA,11,NA,NA,0 days 00:00:45.906000,0 days 00:00:51.133000,0 days 00:01:02.311000,0 days 01:18:54.834000,0 days 01:19:46.022000,0 days 01:20:48.449000,262.0,101.0,265.0,103.0,False,HARD,11.0,True,1,0 days 01:18:08.894000,McLaren,RIC,4,False,2021-12-05 17:50:16.112,11.0,5.0,10.0,4848.278,NA,NA,NA,45.906000000000006,51.133,62.31100000000001,4688.894,159.35000000000002,NA,NA,NA,1048.353
10,0 days 01:20:43.890000,44,NA,11,0 days 01:18:02.875000,NA,0 days 00:01:05.394000,0 days 00:00:53.437000,0 days 00:01:01.738000,0 days 01:18:48.794000,0 days 01:19:42.152000,0 days 01:20:44.021000,140.0,92.0,212.0,155.0,False,HARD,1.0,True,2,0 days 01:17:43.318000,Mercedes,HAM,4,False,2021-12-05 17:49:50.536,1.0,1.0,26.0,4843.89,NA,NA,4682.875,65.394,53.437000000000005,61.73800000000001,4663.318,180.56900000000002,NA,NA,NA,1050.9470000000001
